Optimizing /h/ywang30/nofib/spectral/minimax
001001100111001010111110111111001001010010100010001111001011000010010010010100100010000000010100011100011101110110110000011100010010010101000000010,001001100111001010111110111111001001010010100010001111001011000010010010010100100010000000010100011100011101110110,00,001,001001100111001010,001001100 6505288.0
000010010111001010110100111001000101001101000000011100000000010110000100100100110010000100110000000111111101110000110100011001000110100011110111010,000010010111001010110100111001000101001101000000011100000000010110000100100100110010000100110000000111111101110000,00,000,000010010111001010,000010010 6530664.0
010000100000110110010101101001001100000100000101011010000001000100110001000100010000001001100000110100110000010010110111011001101001100000000010010,010000100000110110010101101001001100000100000101011010000001000100110001000100010000001001100000110100110000010010,01,010,010000100000110110,010000100 6545816.0
011000000100100001010110001011001100010000000101101000000010000111011110000111111000001000010000110000111000111001100010011101001001010111010011000,011000000100100001010110001011001100010000000101101000000010000111011110000111111000001000010000110000111000111001,01,011,011000000100100001,011000000 6435424.0
000110000011101011011110001010101100000111001110101000010000001010011111001110110010011100010101100001110001111000100000111100101100010011010100010,000110000011101011011110001010101100000111001110101000010000001010011111001110110010011100010101100001110001111000,00,000,000110000011101011,000110000 2.3643064e7
001100000110010111010111001011010011000000100101001110001011001100011000000100100010001000010001011100110000010011110111011000000001101100000000001,001100000110010111010111001011010011000000100101001110001011001100011000000100100010001000010001011100110000010011,00,001,001100000110010111,001100000 6644088.0
100110000010111101011100101010101000011010011100111010001100101001110111001111100001101110010001100011011010111100001000111100100001010001011111000,100110000010111101011100101010101000011010011100111010001100101001110111001111100001101110010001100011011010111100,10,100,100110000010111101,100110000 7.4686256e7
000100000001110110001100001011000001111111100000000000001100011001110101000001010001111001101101111010011101010000101100101001101010100000111000100,000100000001110110001100001011000001111111100000000000001100011001110101000001010001111001101101111010011101010000,00,000,000100000001110110,000100000 7.4509752e7
000011000010110101010000111000010111110011010110000110001000001001001100011111111110101000011011010001101110010001010000111100000100111011011111010,000011000010110101010000111000010111110011010110000110001000001001001100011111111110101000011011010001101110010001,00,000,000011000010110101,000011000 6529240.0
001011010100110000010010111010000001100100011001000010001100101001000100000000000011111011010011001110101111010110001011001001001100111101101111001,001011010100110000010010111010000001100100011001000010001100101001000100000000000011111011010011001110101111010110,00,001,001011010100110000,001011010 8.9025704e7
000110010010110011010010111001011001000010001101011101101000001101001010000111010010101110011001011010101000110111000010111000010000001110011111011,000110010010110011010010111001011001000010001101011101101000001101001010000111010010101110011001011010101000110111,00,000,000110010010110011,000110010 2.3565576e7
100101101100000000001100101011010110000111010000010000000100101011011101100001000010101011000110110111001000000000110110101011110110000001010110110,100101101100000000001100101011010110000111010000010000000100101011011101100001000010101011000110110111001000000000,10,100,100101101100000000,100101101 6541776.0
000110100101101011011110011010101100001111000110001000010000001010000111011010110010011100000101100001110100111000100000111100101100010011001100010,000110100101101011011110011010101100001111000110001000010000001010000111011010110010011100000101100001110100111000,00,000,000110100101101011,000110100 6434032.0
001101100110011011111110101100100001010010100100001111001011001100010010000100100110001001010010001100010100110111110010111010010010000100000000011,001101100110011011111110101100100001010010100100001111001011001100010010000100100110001001010010001100010100110111,00,001,001101100110011011,001101100 6505288.0
000010000111001010001110011011001100001110000010111100010000000010010110010110111010000100010100110111011001111000110000011101000100010011010011110,000010000111001010001110011011001100001110000010111100010000000010010110010110111010000100010100110111011001111000,00,000,000010000111001010,000010000 6531024.0
001000000100000000000100101011000110010111110100010001000100001001110111100001010010101001101110100110111000000000100101001001110010001001010100110,001000000100000000000100101011000110010111110100010001000100001001110111100001010010101001101110100110111000000000,00,001,001000000100000000,001000000 6542440.0
100000000000100000000100111001101110010110110110011011000001000001100001000100010000101001100110110100100000000000110101001001101010000000000110010,100000000000100000000100111001101110010110110110011011000001000001100001000100010000101001100110110100100000000000,10,100,100000000000100000,100000000 6542440.0
011100100100110110010111001011010100000000000101001110001011001100011000000100101000001000010000011100110000010011110111011000001001100100000010000,011100100100110110010111001011010100000000000101001110001011001100011000000100101000001000010000011100110000010011,01,011,011100100100110110,011100100 6558000.0
000110000010100011010110101011110001000010000110000100000000001101011000000110011010101001011001011010111000010101000010111100000000111000011101011,000110000010100011010110101011110001000010000110000100000000001101011000000110011010101001011001011010111000010101,00,000,000110000010100011,000110000 6605264.0
best: 0.9848197087862501
000100000100001010001100101011010110000110010000011000000100000010010101110010100010000101010100110111101000010001110110001001100011100101010010010,000100000100001010001100101011010110000110010000011000000100000010010101110010100010000101010100110111101000010001,00,000,000100000100001010,000100000 6542088.0
000011000000100000010100111000110111110110010110000011001001001001001001011100011010101001001010110000101110000001010100111100100000011011000111010,000011000000100000010100111000110111110110010110000011001001001001001001011100011010101001001010110000101110000001,00,000,000011000000100000,000011000 6434152.0
000000000101001010010100111001000111001101000000010100000100011011010101100101000010100010010000110111111000100000110100011001110110000011010111010,000000000101001010010100111001000111001101000000010100000100011011010101100101000010100010010000110111111000100000,00,000,000000000101001010,000000000 6576520.0
000010000000110101010110001010010111000010010010000110001000001000000100011110101100100100010010110101111011010001110001111100000101110111010111010,000010000000110101010110001010010111000010010010000110001000001000000100011110101100100100010010110101111011010001,00,000,000010000000110101,000010000 6435456.0
001101100110011011111110101100100001010010100100001111001011001100010010000100100110001001010010001100010100110111110010111010010010000100000000011,001101100110011011111110101100100001010010100100001111001011001100010010000100100110001001010010001100010100110111,00,001,001101100110011011,001101100 6505288.0
001000000010111010110100111001101110010110110100011011000011001101100001000100100000001001100010011100000000100001110010111010000010000000000110011,001000000010111010110100111001101110010110110100011011000011001101100001000100100000001001100010011100000000100001,00,001,001000000010111010,001000000 6650096.0
100101101100000000001100101011010110000111010000010000000100101011011101100001000010101011000110110111001000000000110110101011110110000001010110110,100101101100000000001100101011010110000111010000010000000100101011011101100001000010101011000110110111001000000000,10,100,100101101100000000,100101101 6541776.0
100001001110000010110100101001000110001111000000011000000100111110000101100100100010000010000110110111111001010000110110101001110110100001110111110,100001001110000010110100101001000110001111000000011000000100111110000101100100100010000010000110110111111001010000,10,100,100001001110000010,100001001 6636384.0
100010000110100011010110101011110001000010100110010001000001001100010000000100010000001001010001101110111000010101100011111000000000101000001101011,100010000110100011010110101011110001000010100110010001000001001100010000000100010000001001010001101110111000010101,10,100,100010000110100011,100010000 6614136.0
011110000111111100011110001010101100100111011110001110110100001110010010001100011010101000010101101001100011111010110000010100011100111111100100110,011110000111111100011110001010101100100111011110001110110100001110010010001100011010101000010101101001100011111010,01,011,011110000111111100,011110000 2.3566056e7
001100010100000100000010110011010110110011110000010101000101001101110111110101100010101000101010100010001100101001100111001001100010111001010000110,001100010100000100000010110011010110110011110000010101000101001101110111110101100010101000101010100010001100101001,00,001,001100010100000100,001100010 6571784.0
000110010011011111110101101010110000001101000000011100010000011101000100100100100010010110110000000011101110110011110100011100110100111011011100000,000110010011011111110101101010110000001101000000011100010000011101000100100100100010010110110000000011101110110011,00,000,000110010011011111,000110010 6529240.0
000110110001101100100100011010111110001111101010010000010100101000010111011101000010001100000001110111100100011001011000111100011100000011100110010,000110110001101100100100011010111110001111101010010000010100101000010111011101000010001100000001110111100100011001,00,000,000110110001101100,000110110 2.7028208e7
100010010111010110101010000001101111001111000010111000010001010000010100010110011000111100000111111110011001011000100010010001010100010011010000110,100010010111010110101010000001101111001111000010111000010001010000010100010110011000111100000111111110011001011000,10,100,100010010111010110,100010010 6614616.0
000100100000111010001111111011000000001000000110011001010000010000101010100000011110100111001100111101111001010000100101100100010110110001011001111,000100100000111010001111111011000000001000000110011001010000010000101010100000011110100111001100111101111001010000,00,000,000100100000111010,000100100 6524944.0
000110100101101011011110011010101100001111000110001000010000001010000111011010110010011100000101100001110100111000100000111100101100010011001100010,000110100101101011011110011010101100001111000110001000010000001010000111011010110010011100000101100001110100111000,00,000,000110100101101011,000110100 6434032.0
011000000100100001010110001011001100010000000101101000000010000111011110000111111000001000010000110000111000111001100010011101001001010111010011000,011000000100100001010110001011001100010000000101101000000010000111011110000111111000001000010000110000111000111001,01,011,011000000100100001,011000000 6435424.0
001001100111001010111110111111001001010010100010001111001011000010010010010100100010000000010100011100011101110110110000011100010010010101000000010,001001100111001010111110111111001001010010100010001111001011000010010010010100100010000000010100011100011101110110,00,001,001001100111001010,001001100 6505288.0
001101100110011011111110101100100001010010100100001111001011001100010010000100100110001001010010001100010100110111110010111010010010000100000000011,001101100110011011111110101100100001010010100100001111001011001100010010000100100110001001010010001100010100110111,00,001,001101100110011011,001101100 6505288.0
000011000010110101010000111000010111110011010110000110001000001001001100011111111110101000011011010001101110010001010000111100000100111011011111010,000011000010110101010000111000010111110011010110000110001000001001001100011111111110101000011011010001101110010001,00,000,000011000010110101,000011000 6529240.0
000010010111001010110100111001000101001101000000011100000000010110000100100100110010000100110000000111111101110000110100011001000110100011110111010,000010010111001010110100111001000101001101000000011100000000010110000100100100110010000100110000000111111101110000,00,000,000010010111001010,000010010 6530664.0
000010000111001010001110011011001100001110000010111100010000000010010110010110111010000100010100110111011001111000110000011101000100010011010011110,000010000111001010001110011011001100001110000010111100010000000010010110010110111010000100010100110111011001111000,00,000,000010000111001010,000010000 6531024.0
best: 0.9848197087862501
000011000010010001110110001010100011000010110010000110001011001100000000000100101110101001010010011100110100010011110010111000010010100100010100011,000011000010010001110110001010100011000010110010000110001011001100000000000100101110101001010010011100110100010011,00,000,000011000010010001,000011000 6644400.0
001100000100011011011110101001010010000010010000011000001001001100010011000110100010000101010100000111111100010001110010011001000010100101000010010,001100000100011011011110101001010010000010010000011000001001001100010011000110100010000101010100000111111100010001,00,001,001100000100011011,001100000 6543992.0
100011001100100000010100111001010111011111000100001000000101111110000101101100000010000001001110110110101010000001010110101101110010001001100111010,100011001100100000010100111001010111011111000100001000000101111110000101101100000010000001001110110110101010000001,10,100,100011001100100000,100011001 6432448.0
001100000110001000000110011011010110001110010000111101010001000010010110110111111010100000101010100111011000111000110010001101100110110011010001110,001100000110001000000110011011010110001110010000111101010001000010010110110111111010100000101010100111011000111000,00,001,001100000110001000,001100000 6527936.0
000110000000110010010100111011000101110010000110011001001000000000001001111000011010101101001100111101101101010000010100111100110000111001010011010,000110000000110010010100111011000101110010000110011001001000000000001001111000011010101101001100111101101101010000,00,000,000110000000110010,000110000 6519240.0
010010000110100011110110111001001101010000000100101000000000000111001100100110110000000000010000100011111000111000100110011001001101100011110111000,010010000110100011110110111001001101010000000100101000000000000111001100100110110000000000010000100011111000111000,01,010,010010000110100011,010010000 6529888.0
000100100010011010111111101100100000010000100100011001011010011000101010100100111110100111011110001101011001010101110111101100010010000001011001111,000100100010011010111111101100100000010000100100011001011010011000101010100100111110100111011110001101011001010101,00,000,000100100010011010,000100100 6641584.0
001100100100001011111110101110100100001111000100001100001000001110000011001110110010011000010010000101110100110101100000111100111000000011001100010,001100100100001011111110101110100100001111000100001100001000001110000011001110110010011000010010000101110100110101,00,001,001100100100001011,001100100 6435144.0
000010000011110101010111101010110100000000000000010110001000001101000100111110100110100110110000000101111010110011110000111100110100111011010111000,000010000011110101010111101010110100000000000000010110001000001101000100111110100110100110110000000101111010110011,00,000,000010000011110101,000010000 6530544.0
000001010010110101011011101000010111110011010110000011001000010011111100010111111100111100011001000001001011011011011000110000011100111101011011011,000001010010110101011011101000010111110011010110000011001000010011111100010111111100111100011001000001001011011011,00,000,000001010010110101,000001010 6535544.0
101101110101011001110110001110100001010110100100010111001111000100010011100100001110010001010010101111011101110000100010111110010000010100100010001,101101110101011001110110001110100001010110100100010111001111000100010011100100001110010001010010101111011101110000,10,101,101101110101011001,101101110 6418120.0
011100010100000101001100111011011110010111010000011000001100001101110111111101001110101100100000100010010101100100100111000101111010101101110011000,011100010100000101001100111011011110010111010000011000001100001101110111111101001110101100100000100010010101100100,01,011,011100010100000101,011100010 6572904.0
101100100100101011110101101101101001000110111000101100000100111101010010111100100010001001111010001100011100100011110010111110100001000000000001011,101100100100101011110101101101101001000110111000101100000100111101010010111100100010001001111010001100011100100011,10,101,101100100100101011,101100100 2.7090872e7
001101100010001011010110011100010010010010100101101101101011001000010010100100110100011011010111011100000000110111101100010011010011001100010000111,001101100010001011010110011100010010010010100101101101101011001000010010100100110100011011010111011100000000110111,00,001,001101100010001011,001101100 6511712.0
101101001100011111111011001010100101010011100010001111011011101101010110000011100111101001100110001000000010110101110000100001000110110100000000011,101101001100011111111011001010100101010011100010001111011011101101010110000011100111101001100110001000000010110101,10,101,101101001100011111,101101001 7.3081624e7
000110100101101011011110011010101100001111000110001000010000001010000111011010110010011100000101100001110100111000100000111100101100010011001100010,000110100101101011011110011010101100001111000110001000010000001010000111011010110010011100000101100001110100111000,00,000,000110100101101011,000110100 6434032.0
000011000000100000010100111000110111110110010110000011001001001001001001011100011010101001001010110000101110000001010100111100100000011011000111010,000011000000100000010100111000110111110110010110000011001001001001001001011100011010101001001010110000101110000001,00,000,000011000000100000,000011000 6434152.0
011000000100100001010110001011001100010000000101101000000010000111011110000111111000001000010000110000111000111001100010011101001001010111010011000,011000000100100001010110001011001100010000000101101000000010000111011110000111111000001000010000110000111000111001,01,011,011000000100100001,011000000 6435424.0
000010000000110101010110001010010111000010010010000110001000001000000100011110101100100100010010110101111011010001110001111100000101110111010111010,000010000000110101010110001010010111000010010010000110001000001000000100011110101100100100010010110101111011010001,00,000,000010000000110101,000010000 6435456.0
001101100110011011111110101100100001010010100100001111001011001100010010000100100110001001010010001100010100110111110010111010010010000100000000011,001101100110011011111110101100100001010010100100001111001011001100010010000100100110001001010010001100010100110111,00,001,001101100110011011,001101100 6505288.0
001001100111001010111110111111001001010010100010001111001011000010010010010100100010000000010100011100011101110110110000011100010010010101000000010,001001100111001010111110111111001001010010100010001111001011000010010010010100100010000000010100011100011101110110,00,001,001001100111001010,001001100 6505288.0
000100100000111010001111111011000000001000000110011001010000010000101010100000011110100111001100111101111001010000100101100100010110110001011001111,000100100000111010001111111011000000001000000110011001010000010000101010100000011110100111001100111101111001010000,00,000,000100100000111010,000100100 6524944.0
best: 0.9823841518592398
001101110001111000110100111110100111010110000110000111001101001000000001000100001110110001001010111011101101110001000010111100010000011001100110001,001101110001111000110100111110100111010110000110000111001101001000000001000100001110110001001010111011101101110001,00,001,001101110001111000,001101110 6417216.0
101000010101010001010110001111000101010110000100101000000111000100011110000110101110001001010010111111011001111001100010011110000000010110010010000,101000010101010001010110001111000101010110000100101000000111000100011110000110101110001001010010111111011001111001,10,101,101000010101010001,101000010 6418744.0
000110100101100011010110011010100100011010000110011001010000001000000001111000111010001100000101111001101100010000010000111100110100010011001101010,000110100101100011010110011010100100011010000110011001010000001000000001111000111010001100000101111001101100010000,00,000,000110100101100011,000110100 6518096.0
000110000000101000000100111001110111001110010110110111010001000000011010010110111010101001101010100011111000101000010110011100100010111011000011010,000110000000101000000100111001110111001110010110110111010001000000011010010110111010101001101010100011111000101000,00,000,000110000000101000,000110000 6574992.0
100100101100101010010100111001010100011111000100001100000100101110000111101110100010010000011110000101101000110101110010101100110000001011101111010,100100101100101010010100111001010100011111000100001100000100101110000111101110100010010000011110000101101000110101,10,100,100100101100101010,100100101 6432448.0
001101000110001000111110001101100011000010110100001111001011001110010110110110101110101000111010001110011100110111110010111110000010010000000001111,001101000110001000111110001101100011000010110100001111001011001110010110110110101110101000111010001110011100110111,00,001,001101000110001000,001101000 6505288.0
001011100111011010110110011010001011010010100010001110001011000100000010000100101110101001010110011100110100010110110010011100010010110100010100010,001011100111011010110110011010001011010010100010001110001011000100000010000100101110101001010110011100110100010110,00,001,001011100111011010,001011100 6644088.0
101100100100011011110110001110100000001111000100011110001111000100000011100110110010011001010010101101110100110001100010111100011000010001001000001,101100100100011011110110001110100000001111000100011110001111000100000011100110110010011001010010101101110100110001,10,101,101100100100011011,101100100 6418120.0
011010000110100011110110011001001100010000000100101000000010000111001100100110110000001000010000100000111000111000100110011101001101010011110111000,011010000110100011110110011001001100010000000100101000000010000111001100100110110000001000010000100000111000111000,01,011,011010000110100011,011010000 6529888.0
110101101010101000111111001110101001000001100001011101010001100001000011110100111100100111011110011110111000000101110111100100001111000000011111101,110101101010101000111111001110101001000001100001011101010001100001000011110100111100100111011110011110111000000101,11,110,110101101010101000,110101101 6612400.0
000010101101001111011110011110000111001111000010001000011101011011010111110010110110011111011101111101101100110000100000111110011100100011111101011,000010101101001111011110011110000111001111000010001000011101011011010111110010110110011111011101111101101100110000,00,000,000010101101001111,000010101 6418432.0
000011000000011000010010001000101011001010011011010010111000011100100010001100101110101100010111110000101111000101101001011100110111010111010010101,000011000000011000010010001000101011001010011011010010111000011100100010001100101110101100010111110000101111000101,00,000,000011000000011000,000011000 2.3243488e7
000000010000110001101111111001000001000000101000011000011010110000101011100000011100000100100000111101000010011000010101000100011110110001111101111,000000010000110001101111111001000001000000101000011000011010110000101011100000011100000100100000111101000010011000,00,000,000000010000110001,000000010 2.6482912e7
110001100100100100000101010101011011001111000100001000000100011111000100101110111110001101010110110110001010000011110111111001111010001100001111010,110001100100100100000101010101011011001111000100001000000100011111000100101110111110001101010110110110001010000011,11,110,110001100100100100,110001100 6436864.0
001100101101111011011111001010101110001101110110011000000000011110000000010010110000011100100011101010001100011000100000111100001010010111011100010,001100101101111011011111001010101110001101110110011000000000011110000000010010110000011100100011101010001100011000,00,001,001100101101111011,001100101 6525944.0
101101110101011001110110001110100001010110100100010111001111000100010011100100001110010001010010101111011101110000100010111110010000010100100010001,101101110101011001110110001110100001010110100100010111001111000100010011100100001110010001010010101111011101110000,10,101,101101110101011001,101101110 6418120.0
100011001100100000010100111001010111011111000100001000000101111110000101101100000010000001001110110110101010000001010110101101110010001001100111010,100011001100100000010100111001010111011111000100001000000101111110000101101100000010000001001110110110101010000001,10,100,100011001100100000,100011001 6432448.0
000110100101101011011110011010101100001111000110001000010000001010000111011010110010011100000101100001110100111000100000111100101100010011001100010,000110100101101011011110011010101100001111000110001000010000001010000111011010110010011100000101100001110100111000,00,000,000110100101101011,000110100 6434032.0
000011000000100000010100111000110111110110010110000011001001001001001001011100011010101001001010110000101110000001010100111100100000011011000111010,000011000000100000010100111000110111110110010110000011001001001001001001011100011010101001001010110000101110000001,00,000,000011000000100000,000011000 6434152.0
001100100100001011111110101110100100001111000100001100001000001110000011001110110010011000010010000101110100110101100000111100111000000011001100010,001100100100001011111110101110100100001111000100001100001000001110000011001110110010011000010010000101110100110101,00,001,001100100100001011,001100100 6435144.0
011000000100100001010110001011001100010000000101101000000010000111011110000111111000001000010000110000111000111001100010011101001001010111010011000,011000000100100001010110001011001100010000000101101000000010000111011110000111111000001000010000110000111000111001,01,011,011000000100100001,011000000 6435424.0
000010000000110101010110001010010111000010010010000110001000001000000100011110101100100100010010110101111011010001110001111100000101110111010111010,000010000000110101010110001010010111000010010010000110001000001000000100011110101100100100010010110101111011010001,00,000,000010000000110101,000010000 6435456.0
