Optimizing /h/ywang30/nofib/spectral/scc
11111110001000011001110010101001110101010001100,1111111000 57000.0
01000000001000001001110010110000110101010101100,0100000000 57024.0
01000000010011001001000110100000111001000101110,0100000001 57024.0
best: 0.9644017325392529
01101001101010011011010110011001110101000101110,0110100110 57000.0
11101010000001011001110000101000110101000101100,1110101000 57000.0
01110011000001011001011100111001110101000101100,0111001100 57000.0
01010011010011011001000110111001110101001011110,0101001101 57024.0
01100011010011011001000110111000110011001100110,0110001101 57000.0
01101010000001011001110010101001110101000100100,0110101000 57000.0
01100000010011011000000111110000110101000100000,0110000001 57000.0
11101010000001011001110010101001110101000101100,1110101000 57000.0
01100010010001011001010110110000110101010001100,0110001001 57000.0
01010011110111011001000110100100110111001001110,0101001111 57024.0
11101010011000011000110000111100101001100111100,1110101001 57400.0
11111110001010001111110011010001010011110101000,1111111000 58200.0
11110000000011001001000001010000110001001100101,1111000000 118208.0
00100000010111011101010010111000110001000111000,0010000001 57000.0
01001000101010011100100100101000110101010100100,0100100010 57024.0
01100010010011011001000100010000110101001101100,0110001001 57000.0
01101010010010011001110110101001110001000100100,0110101001 57000.0
01100001100010011010000111110001110001001100110,0110000110 57000.0
11101010000001011001110000101000110101000101100,1110101000 57000.0
11101010001000011001010110111001110101010001100,1110101000 57000.0
01100010011011011001000100000000110001101100100,0110001001 57000.0
01100010010011011001000100101000110001000100100,0110001001 57000.0
best: 0.9644017325392529
00101000000101011101110010101001110101000100100,0010100000 57000.0
01100010010011011001000100001000110001100100100,0110001001 57000.0
01011001101110011001000110101000110101000000110,0101100110 57024.0
01101001100001011000010111110001110001001100100,0110100110 57000.0
01101000010011011000100110110000110001000100000,0110100001 57000.0
01100010010001011001010110110000110101010001100,0110001001 57000.0
11101010011010011000110010101100100001100110100,1110101001 57400.0
01101000000011011000000010111000110101000100000,0110100000 57000.0
01101011001010011001011100011001110101000101110,0110101100 57000.0
01101000101110010101110101011101110101011101101,0110100010 118208.0
01111010101001010000000110001011000101100000110,0111101010 59048.0
00101001000011001101000111111001100101001110010,0010100100 57400.0
01000010110001011101000010101101100100000101001,0100001011 118208.0
11100010010001001001100010100001010101001100101,1110001001 118208.0
11110001010001000000110000110000110101010101100,1111000101 57480.0
01101001101010011011010110011001110101000101110,0110100110 57000.0
11101010000001011001110000101000110101000101100,1110101000 57000.0
01110011000001011001011100111001110101000101100,0111001100 57000.0
01100011010011011001000110111000110011001100110,0110001101 57000.0
01101010000001011001110010101001110101000100100,0110101000 57000.0
01100000010011011000000111110000110101000100000,0110000001 57000.0
11101010000001011001110010101001110101000101100,1110101000 57000.0
best: 0.9644017325392529
00101010000001001001110010111001100101001100000,0010101000 57400.0
01101001001000011011010110011001110101000100110,0110100100 57000.0
01100010000101011101110010101001110101010000100,0110001000 57000.0
11101010000001011001110000101000110101000101100,1110101000 57000.0
01101001100001011000010111110001110001001100100,0110100110 57000.0
11101000000101011101110010101001110101000100100,1110100000 57000.0
01110011000001011001011100111001110101000101100,0111001100 57000.0
01101001100001011000010111110001110001001100100,0110100110 57000.0
01100011010001011001010110110001110101000001100,0110001101 57000.0
11001110011011001010110011100011110000000010001,1100111001 118208.0
01001000010011101101110100110110110101000101010,0100100001 57472.0
11100011010110000000000110101010110001001000100,1110001101 57448.0
01101010100101001101001010111101110011100111101,0110101010 118208.0
01101110000011011001110101011101010000000100010,0110111000 58200.0
11100010110001010001000111011010010011000101100,1110001011 58648.0
00101000000101011101110010101001110101000100100,0010100000 57000.0
01100010010011011001000100001000110001100100100,0110001001 57000.0
01101001100001011000010111110001110001001100100,0110100110 57000.0
01101000010011011000100110110000110001000100000,0110100001 57000.0
01100010010001011001010110110000110101010001100,0110001001 57000.0
01101000000011011000000010111000110101000100000,0110100000 57000.0
01101011001010011001011100011001110101000101110,0110101100 57000.0
best: 0.9644017325392529
01101010010001011001010010111000110101010100000,0110101001 57000.0
01101010000001011001110100101000110101000001100,0110101000 57000.0
11100000000101011101110010101001110101010000100,1110000000 57000.0
01101001000001011001010111111001110101000100100,0110100100 57000.0
01101011110001011000010111011011010011001100100,0110101111 58648.0
00101000010001011001100110110000110001001100000,0010100001 57000.0
01101001000010011000011100011001110101000100110,0110100100 57000.0
01101001100001011000110101111001110001001100100,0110100110 57000.0
01101001101001011000010110011001110101000100110,0110100110 57000.0
10101011010011011000011011111101000011000000000,1010101101 58600.0
11101100111101011010101010000001100110000011000,1110110011 57400.0
01101011001010010111110111100010110111001100110,0110101100 57448.0
01110001000011111101011101111100111101000100100,0111000100 57000.0
01100010111001000001011000010010011100000101010,0110001011 58648.0
00000001110011011001001100011100110001000101100,0000000111 57024.0
01101001001000011011010110011001110101000100110,0110100100 57000.0
01100010000101011101110010101001110101010000100,0110001000 57000.0
11101010000001011001110000101000110101000101100,1110101000 57000.0
01101001100001011000010111110001110001001100100,0110100110 57000.0
11101000000101011101110010101001110101000100100,1110100000 57000.0
01110011000001011001011100111001110101000101100,0111001100 57000.0
01100011010001011001010110110001110101000001100,0110001101 57000.0
best: 0.9644017325392529
01101001100010011000011101110001110101000100100,0110100110 57000.0
01100010000001011001010110110001110101000001100,0110001000 57000.0
01101001001000011011010110011001110101000100110,0110100100 57000.0
11100001000101011101010100101001110101000101100,1110000100 57000.0
01101010000101011001110110101001110101010100100,0110101000 57000.0
11101000000101011101110010101001110101010000100,1110100000 57000.0
01101001100010011000011101011001110101000100100,0110100110 57000.0
11101000000101011101110111111001110101000100100,1110100000 57000.0
01101000010001011000011110111000110101010100110,0110100001 57000.0
01110001010011011101010110110000111111000011100,0111000101 57000.0
01110001010111111001110101111000110100000001010,0111000101 57000.0
01101001101100110010010101011011110101010100100,0110100110 57448.0
01011001000001011001011011011001010001010100100,0101100100 58224.0
01100011001001000110011001100101110101100010100,0110001100 57480.0
11011010110001111101011110111010001101110101100,1101101011 59072.0
01101010010001011001010010111000110101010100000,0110101001 57000.0
01101010000001011001110100101000110101000001100,0110101000 57000.0
11100000000101011101110010101001110101010000100,1110000000 57000.0
01101001000001011001010111111001110101000100100,0110100100 57000.0
00101000010001011001100110110000110001001100000,0010100001 57000.0
01101001000010011000011100011001110101000100110,0110100100 57000.0
01101001100001011000110101111001110001001100100,0110100110 57000.0
best: 0.9644017325392529
done evolving!
"all is well:)"
>>>>>>>>>>>>>>FINISH OPTIMIZATION>>>>>>>>>>>>>>>
656.54user 642.30system 1:31:26elapsed 23%CPU (0avgtext+0avgdata 135580maxresident)k
911184inputs+1634680outputs (439major+72686601minor)pagefaults 0swaps
