Optimizing /h/ywang30/nofib/spectral/boyer2
1101111000001000100100001010010100010100100010001000000101,1101111000001000100100001010010100010100100010001000000101000110000111000101111110001011000100000101100100100000010101,1101111000001000100100001010010100,11011110000010001001000010100101000101001000100010000001010001100001110001011111100010,1 3539104.0
0011000101000100010110101110101000011010100110010110100001,0011000101000100010110101110101000011010100110010110100001000110010001010001111000101011111001000011001000110000001000,0011000101000100010110101110101000,00110001010001000101101011101010000110101001100101101000010001100100010100011110001010,0 5506704.0
0110101100110111010101000000101101010010100010011000101101,0110101100110111010101000000101101010010100010011000101101100110001110010010010000111010100101001001101000110000000101,0110101100110111010101000000101101,01101011001101110101010000001011010100101000100110001011011001100011100100100100001110,0 3814848.0
1110010001001010110101110010001101011000100011011000000011,1110010001001010110101110010001101011000100011011000000011110110000110110000111011000110101011000011100000011001000001,1110010001001010110101110010001101,11100100010010101101011100100011010110001000110110000000111101100001101100001110110001,1 3610016.0
0101100000011010110110100011101111001001111011101000000101,0101100000011010110110100011101111001001111011101000000101000010000011110011101000110111000100011000011101011100001000,0101100000011010110110100011101111,01011000000110101101101000111011110010011110111010000001010000100000111100111010001101,0 4213192.0
0011001000001001010100000010101100010000100010011000100001,0011001000001001010100000010101100010000100010011000100001111111010111000001111010001010101100010101101110111100000101,0011001000001001010100000010101100,00110010000010010101000000101011000100001000100110001000011111110101110000011110100010,0 4066416.0
0010000000000101100111111111110000011011000011110111100010,0010000000000101100111111111110000011011000011110111100010001100101110110000111100100011011110010110100000000100001010,0010000000000101100111111111110000,00100000000001011001111111111100000110110000111101111000100011001011101100001111001000,0 6098448.0
0100010100011001100100100111101001000010100011010101110011,0100010100011001100100100111101001000010100011010101110011000010010001101001111000011110111001100101100001100100000010,0100010100011001100100100111101001,01000101000110011001001001111010010000101000110101011100110000100100011010011110000111,0 4000904.0
1000101011001010011101000011101100111100010111010101100010,1000101011001010011101000011101100111100010111010101100010010111000010100001010011100000010000001010010101100001010011,1000101011001010011101000011101100,10001010110010100111010000111011001111000101110101011000100101110000101000010100111000,1 4101456.0
1111000100111111010101010001110100110011101000001001101110,1111000100111111010101010001110100110011101000001001101110101111001010110011111000100110101001111000000001110111101010,1111000100111111010101010001110100,11110001001111110101010100011101001100111010000010011011101011110010101100111110001001,1 3168096.0
0111010001000000000111101011000010111000100100100111111011,0111010001000000000111101011000010111000100100100111111011000110010101100001101010101011001001010010101100111000100000,0111010001000000000111101011000010,01110100010000000001111010110000101110001001001001111110110001100101011000011010101010,0 5260080.0
0111111010001000011110001011110010011001100010101000010101,0111111010001000011110001011110010011001100010101000010101001101111000000011111110011111101110010000000111011100000100,0111111010001000011110001011110010,01111110100010000111100010111100100110011000101010000101010011011110000000111111100111,0 4185688.0
1101001000001001100000100010010101000010000010010101100100,1101001000001001100000100010010101000010000010010101100100110110000111000101001010001010000100001101000100100000010111,1101001000001001100000100010010101,11010010000010011000001000100101010000100000100101011001001101100001110001010010100010,1 3562272.0
1010100100110111010111010000111100010010001000001000101100,1010100100110111010111010000111100010010001000001000101100100011001010110010000000110010100100011001000010110010001000,1010100100110111010111010000111100,10101001001101110101110100001111000100100010000010001011001000110010101100100000001100,1 3611672.0
0111001001001101000100100010101001000000100010010001100001,0111001001001101000100100010101001000000100010010001100001110110000111000001111010001010101101000111101000110000000101,0111001001001101000100100010101001,01110010010011010001001000101010010000001000100100011000011101100001110000011110100010,0 3620232.0
1001111011001111111100100111010101010000000011010101000000,1001111011001111111100100111010101010000000011010101000000010110000111100111001010100000000000101000100000000000010111,1001111011001111111100100111010101,10011110110011111111001001110101010100000000110101010000000101100001111001110010101000,1 3655960.0
1110010000011010111101011000001100011000000011111010000110,1110010000011010111101011000001100011000000011111010000110010111000110110010111011010101001010000011110000001001000001,1110010000011010111101011000001100,11100100000110101111010110000011000110000000111110100001100101110001101100101110110101,1 3799584.0
0111010101000100000110101111101000111000100110010001100001,0111010101000100000110101111101000111000100110010001100001000110010001000001111000101010111001010010101000110000000000,0111010101000100000110101111101000,01110101010001000001101011111010001110001001100100011000010001100100010000011110001010,0 3811888.0
0001101001011010110111100110101011000011110001100010000100,0001101001011010110111100110101011000011110001100010000100000010100001110110101100100111000001011000011101001110001000,0001101001011010110111100110101011,00011010010110101101111001101010110000111100011000100001000000101000011101101011001001,0 4224672.0
best: 0.8579655134313031
1110000000111010010101011000111100011010001011111000001100,1110000000111010010101011000111100011010001011111000001100010011000110110010000010010110101110001011010000000010001001,1110000000111010010101011000111100,11100000001110100101010110001111000110100010111110000011000100110001101100100000100101,1 3763760.0
1010100001001010011101000010001100111100000011111100000010,1010100001001010011101000010001100111100000011111100000010010111000010110001111011100001000000000010010101101001010001,1010100001001010011101000010001100,10101000010010100111010000100011001111000000111111000000100101110000101100011110111000,1 3735216.0
0111010000000101000110100110101000011000100110010001100001,0111010000000101000110100110101000011000100110010001100001110111010101000001111010001010111001010111101000110100000100,0111010000000101000110100110101000,01110100000001010001101001101010000110001001100100011000011101110101010000011110100010,0 3959056.0
1010100000110111010101010000111100010010001000001000101110,1010100000110111010101010000111100010010001000001000101110100011000110110010100001110010100100011001100010110011001001,1010100000110111010101010000111100,10101000001101110101010100001111000100100010000010001011101000110001101100101000011100,1 3611672.0
1010100100110111010111010000111100010010001000001000101100,1010100100110111010111010000111100010010001000001000101100100011001010110010000000110010100100011001000010110010001000,1010100100110111010111010000111100,10101001001101110101110100001111000100100010000010001011001000110010101100100000001100,1 3611672.0
1110110000111111010101011000101100010010001010001000000110,1110110000111111010101011000101100010010001010001000000110110111000110110010000001010011101000001001110010100011000000,1110110000111111010101011000101100,11101100001111110101010110001011000100100010100010000001101101110001101100100000010100,1 3730376.0
1011111011001100011110001111010101010001000010110000010101,1011111011001100011110001111010101010001000010110000010101011110000001000011111110111011001100000000000111001000010101,1011111011001100011110001111010101,10111110110011000111100011110101010100010000101100000101010111100000010000111111101110,1 3695088.0
0110110010001000111100001000001110011001100011101010000101,0110110010001000111100001000001110011001100011101010000101011101000110100010111110010101101110000011010011001000000000,0110110010001000111100001000001110,01101100100010001111000010000011100110011000111010100001010111010001101000101111100101,0 3804056.0
1000010000011101100101100100101101001010000011010000101011,1000010000011101100101100100101101001010000011010000101011100110000010111001100010110010101001001001100001100001001000,1000010000011101100101100100101101,10000100000111011001011001001011010010100000110100001010111001100000101110011000101100,1 3731496.0
0010010101011100010100100111101001001010100111011100011010,0010010101011100010100100111101001001010100111011100011010000011010010111001010010010011111001100111100101000100100110,0010010101011100010100100111101001,00100101010111000101001001111010010010101001110111000110100000110100101110010100100100,0 5105136.0
1000111111001110111101000001010001011001000010010100000000,1000111111001110111101000001010001011001000010010100000000000111000111100010000110100000010001101001101101001010000111,1000111111001110111101000001010001,10001111110011101111010000010100010110010000100101000000000001110001111000100001101000,1 4031400.0
1111010001011111101101001100110001001000000011111010000010,1111010001011111101101001100110001001000000011111010000010010101110110110010111111010001101010000010110100111001110001,1111010001011111101101001100110001,11110100010111111011010011001100010010000000111110100000100101011101101100101111110100,1 4602272.0
1101001101001000011110000010010001100010001001010011100101,1101001101001000011110000010010001100010001001010011100101111110100011000100110110001110000101001000100000101000001001,1101001101001000011110000010010001,11010011010010000111100000100100011000100010010100111001011111101000110001001101100011,1 5066080.0
1111001101001010001101100100000001110000110010010000100001,1111001101001010001101100100000001110000110010010000100001100010100111100001110010100100101001110101111000111000000001,1111001101001010001101100100000001,11110011010010100011011001000000011100001100100100001000011000101001111000011100101001,1 3736840.0
0100101001010110110110110011101110001100010011101000000100,0100101001010110110110110011101110001100010011101000000100000110001100100010111001110101110100011010111101011100001000,0100101001010110110110110011101110,01001010010101101101101100111011100011000100111010000001000001100011001000101110011101,0 3614984.0
1111000100111111010101010001110100110011101000001001101110,1111000100111111010101010001110100110011101000001001101110101111001010110011111000100110101001111000000001110111101010,1111000100111111010101010001110100,11110001001111110101010100011101001100111010000010011011101011110010101100111110001001,1 3168096.0
1101111000001000100100001010010100010100100010001000000101,1101111000001000100100001010010100010100100010001000000101000110000111000101111110001011000100000101100100100000010101,1101111000001000100100001010010100,11011110000010001001000010100101000101001000100010000001010001100001110001011111100010,1 3539104.0
1101001000001001100000100010010101000010000010010101100100,1101001000001001100000100010010101000010000010010101100100110110000111000101001010001010000100001101000100100000010111,1101001000001001100000100010010101,11010010000010011000001000100101010000100000100101011001001101100001110001010010100010,1 3562272.0
1110010001001010110101110010001101011000100011011000000011,1110010001001010110101110010001101011000100011011000000011110110000110110000111011000110101011000011100000011001000001,1110010001001010110101110010001101,11100100010010101101011100100011010110001000110110000000111101100001101100001110110001,1 3610016.0
1010100100110111010111010000111100010010001000001000101100,1010100100110111010111010000111100010010001000001000101100100011001010110010000000110010100100011001000010110010001000,1010100100110111010111010000111100,10101001001101110101110100001111000100100010000010001011001000110010101100100000001100,1 3611672.0
0111001001001101000100100010101001000000100010010001100001,0111001001001101000100100010101001000000100010010001100001110110000111000001111010001010101101000111101000110000000101,0111001001001101000100100010101001,01110010010011010001001000101010010000001000100100011000011101100001110000011110100010,0 3620232.0
1010010000010110010101010000111100011010000011001000001110,1010010000010110010101010000111100011010000011001000001110100111000110110010100011110010001100011001100010100011001001,1010010000010110010101010000111100,10100100000101100101010100001111000110100000110010000011101001110001101100101000111100,1 3653072.0
best: 0.8579655134313031
1010110000001110010101110000111101011010100010001000101111,1010110000001110010101110000111101011010100010001000101111110010000110110000111001000110100000010011100000010011000001,1010110000001110010101110000111101,10101100000011100101011100001111010110101000100010001011111100100001101100001110010001,1 3492488.0
1010000000111111010101011000111100010010001011111000001100,1010000000111111010101011000111100010010001011111000001100000011001110110010000010010010101110011011010000010010001000,1010000000111111010101011000111100,10100000001111110101010110001111000100100010111110000011000000110011101100100000100100,1 3722360.0
0010110010110111010100011000101100011001001010101010001101,0010110010110111010100011000101100011001001010101010001101101101000110100010110111110000101100010001000011110001001001,0010110010110111010100011000101100,00101100101101110101000110001011000110010010101010100011011011010001101000101101111100,0 5059768.0
0110110000001010110101000000111110011010000011101000001100,0110110000001010110101000000111110011010000011101000001100011111000110110010110011010111001110011001000010100001000001,0110110000001010110101000000111110,01101100000010101101010000001111100110100000111010000011000111110001101100101100110101,0 3665152.0
0100001001011100100100100010101101000000100010100001000001,0100001001011100100100100010101101000000100010100001000001000110000101000000111010010111111100000010111000011100000100,0100001001011100100100100010101101,01000010010111001001001000101011010000001000101000010000010001100001010000001110100101,0 3830520.0
0111011000001001000100000010111101000100100010011000000101,0111011000001001000100000010111101000100100010011000000101110110000111000101111010001011100100000111101000100000000101,0111011000001001000100000010111101,01110110000010010001000000101111010001001000100110000001011101100001110001011110100010,0 3499752.0
1100001001011110110100110010001101001000010011001000000110,1100001001011110110100110010001101001000010011001000000110100110001100110010111001010101110000010010110101011001001000,1100001001011110110100110010001101,11000010010111101101001100100011010010000100110010000001101001100011001100101110010101,1 3614336.0
1010100100110111010101010000110100010011101000001000101100,1010100100110111010101010000110100010011101000001000101100100011001010110010100000100110100100011001000001110110101010,1010100100110111010101010000110100,10101001001101110101010100001101000100111010000010001011001000110010101100101000001001,1 3611672.0
0010110000000111010101001000101110010010100001101000101110,0010110000000111010101001000101110010010100001101000101110010001000110110010101011010001101100010001100010101011000001,0010110000000111010101001000101110,00101100000001110101010010001011100100101000011010001011100100010001101100101010110100,0 3458336.0
1010000000110111010101100100111100010010001000001001111100,1010000000110111010101100100111100010010001000001001111100100101100110110000000000010111100100111101001011100000101010,1010000000110111010101100100111100,10100000001101110101011001001111000100100010000010011111001001011001101100000000000101,1 3611664.0
0010100000000111110101011000011100010011001000001110101101,0010100000000111110101011000011100010011001000001110101101100001001010101010001010110100100100010001110000100011111100,0010100000000111110101011000011100,00101000000001111101010110000111000100110010000011101011011000010010101010100010101101,0 6226672.0
1100111111001110101110100011010011010000001010010111010010,1100111111001110101110100011010011010000001010010111010010010111000111100000001101100001010011001001101011011001010111,1100111111001110101110100011010011,11001111110011101011101000110100110100000010100101110100100101110001111000000011011000,1 6135920.0
0110000001100110110111000010011111011101100100010000110000,0110000001100110110111000010011111011101100100010000110000001010010110111110111010000110100001000011100010011100000001,0110000001100110110111000010011111,01100000011001101101110000100111110111011001000100001100000010100101101111101110100001,0 4597584.0
1110010000001110111111111110000001101000100011000000101011,1110010000001110111111111110000001101000100011000000101011110111000110111000111111100010001010010111100101011001000110,1110010000001110111111111110000001,11100100000011101111111111100000011010001000110000001010111101110001101110001111111000,1 3324848.0
0110011011101011110100101011101100011000110010111000000111,0110011011101011110100101011101100011000110010111000000111111110010111110001001011011110100110000010100101111001100001,0110011011101011110100101011101100,01100110111010111101001010111011000110001100101110000001111111100101111100010010110111,0 4062408.0
1111000100111111010101010001110100110011101000001001101110,1111000100111111010101010001110100110011101000001001101110101111001010110011111000100110101001111000000001110111101010,1111000100111111010101010001110100,11110001001111110101010100011101001100111010000010011011101011110010101100111110001001,1 3168096.0
1101111000001000100100001010010100010100100010001000000101,1101111000001000100100001010010100010100100010001000000101000110000111000101111110001011000100000101100100100000010101,1101111000001000100100001010010100,11011110000010001001000010100101000101001000100010000001010001100001110001011111100010,1 3539104.0
1101001000001001100000100010010101000010000010010101100100,1101001000001001100000100010010101000010000010010101100100110110000111000101001010001010000100001101000100100000010111,1101001000001001100000100010010101,11010010000010011000001000100101010000100000100101011001001101100001110001010010100010,1 3562272.0
1110010001001010110101110010001101011000100011011000000011,1110010001001010110101110010001101011000100011011000000011110110000110110000111011000110101011000011100000011001000001,1110010001001010110101110010001101,11100100010010101101011100100011010110001000110110000000111101100001101100001110110001,1 3610016.0
1010100000110111010101010000111100010010001000001000101110,1010100000110111010101010000111100010010001000001000101110100011000110110010100001110010100100011001100010110011001001,1010100000110111010101010000111100,10101000001101110101010100001111000100100010000010001011101000110001101100101000011100,1 3611672.0
1010100100110111010111010000111100010010001000001000101100,1010100100110111010111010000111100010010001000001000101100100011001010110010000000110010100100011001000010110010001000,1010100100110111010111010000111100,10101001001101110101110100001111000100100010000010001011001000110010101100100000001100,1 3611672.0
0100101001010110110110110011101110001100010011101000000100,0100101001010110110110110011101110001100010011101000000100000110001100100010111001110101110100011010111101011100001000,0100101001010110110110110011101110,01001010010101101101101100111011100011000100111010000001000001100011001000101110011101,0 3614984.0
best: 0.8579655134313031
1100111100001110101110001011010000010100100010011011010110,1100111100001110101110001011010000010100100010011011010110000110000111000001001111001001010100000101100110011000010101,1100111100001110101110001011010000,11001111000011101011100010110100000101001000100110110101100001100001110000010011110010,1 4000592.0
1001001000110101100001100010110101010010000010000101100100,1001001000110101100001100010110101010010000010000101100100100110100111000001001010000011000100111101001000100000110110,1001001000110101100001100010110101,10010010001101011000011000101101010100100000100001011001001001101001110000010010100000,1 3564040.0
1110000100111111010101010001110100110010001000001001111110,1110000100111111010101010001110100110010001000001001111110101111101010110001001000010111100001111100000011110101101010,1110000100111111010101010001110100,11100001001111110101010100011101001100100010000010011111101011111010101100010010000101,1 3167464.0
1110010000001110110111111110010001001010000011001000101101,1110010000001110110111111110010001001010000011001000101101011111000110111010110011010010001110011001000000110001000110,1110010000001110110111111110010001,11100100000011101101111111100100010010100000110010001011010111110001101110101100110100,1 3665120.0
0111011000001001000100000010111101000100100010011000000101,0111011000001001000100000010111101000100100010011000000101110110000111000101111010001011100100000111101000100000000101,0111011000001001000100000010111101,01110110000010010001000000101111010001001000100110000001011101100001110001011110100010,0 3499752.0
1010100000001011110101000000111100011010001010101000101110,1010100000001011110101000000111100011010001010101000101110111111000110110010100011110011001110011001000010100011000001,1010100000001011110101000000111100,10101000000010111101010000001111000110100010101010001011101111110001101100101000111100,1 3624408.0
1010110000001110010101110000111101011010100010001000101111,1010110000001110010101110000111101011010100010001000101111110010000110110000111001000110100000010011100000010011000001,1010110000001110010101110000111101,10101100000011100101011100001111010110101000100010001011111100100001101100001110010001,1 3492488.0
1101001000001101101010100011010001000010000010010101000110,1101001000001101101010100011010001000010000010010101000110010110000111000100001010100010010101001001000001000001010111,1101001000001101101010100011010001,11010010000011011010101000110100010000100000100101010001100101100001110001000010101000,1 3681600.0
0111011000001011000101001010100101000100100010011000001001,0111011000001011000101001010100101000100100010011000001001110111000110000001111011001010000110000111101000101000000111,0111011000001011000101001010100101,01110110000010110001010010101001010001001000100110000010011101110001100000011110110010,0 3699360.0
0110100010000010110101111000011111001110110011011001101101,0110100010000010110101111000011111001110110011011001101101001100011100100100111001100110100000010111011000000111000001,0110100010000010110101111000011111,01101000100000101101011110000111110011101100110110011011010011000111001001001110011001,0 4599856.0
1110000110110110010101010000111110000011101001001001101101,1110000110110110010101010000111110000011101001001001101101111011011110111001111001100110011111111111000111110101101010,1110000110110110010101010000111110,11100001101101100101010100001111100000111010010010011011011110110111101110011110011001,1 4394360.0
0111001000000010010101000010010010000110100000001101001001,0111001000000010010101000010010010000110100000001101001001110011001110100001011010101001100101010110111101100101000011,0111001000000010010101000010010010,01110010000000100101010000100100100001101000000011010010011100110011101000010110101010,0 3965168.0
0101100101010100001110110011001110011110011000001000010110,0101100101010100001110110011001110011110011000001000010110101110001100110010111001011101001111011010110011101110000100,0101100101010100001110110011001110,01011001010101000011101100110011100111100110000010000101101011100011001100101110010111,0 4370024.0
1010111010001111111011100101000010101100100011000000101011,1010111010001111111011100101000010101100100011000000101011101111010110101000010000100001001100010111101101011001101110,1010111010001111111011100101000010,10101110100011111110111001010000101011001000110000001010111011110101101010000100001000,1 4864952.0
1101100110111011010101000101110100010011000100001101101010,1101100110111011010101000101110100010011000100001101101010101010001011000001111000000110100000011010111111111111101010,1101100110111011010101000101110100,11011001101110110101010001011101000100110001000011011010101010100010110000011110000001,1 4272144.0
1111000100111111010101010001110100110011101000001001101110,1111000100111111010101010001110100110011101000001001101110101111001010110011111000100110101001111000000001110111101010,1111000100111111010101010001110100,11110001001111110101010100011101001100111010000010011011101011110010101100111110001001,1 3168096.0
1110010000001110111111111110000001101000100011000000101011,1110010000001110111111111110000001101000100011000000101011110111000110111000111111100010001010010111100101011001000110,1110010000001110111111111110000001,11100100000011101111111111100000011010001000110000001010111101110001101110001111111000,1 3324848.0
0010110000000111010101001000101110010010100001101000101110,0010110000000111010101001000101110010010100001101000101110010001000110110010101011010001101100010001100010101011000001,0010110000000111010101001000101110,00101100000001110101010010001011100100101000011010001011100100010001101100101010110100,0 3458336.0
1010110000001110010101110000111101011010100010001000101111,1010110000001110010101110000111101011010100010001000101111110010000110110000111001000110100000010011100000010011000001,1010110000001110010101110000111101,10101100000011100101011100001111010110101000100010001011111100100001101100001110010001,1 3492488.0
