Optimizing /h/ywang30/nofib/spectral/pretty
10000000000010000000010011100110111001011011011001101100000100000110,1000,1000000000001000000001001110011011100101101101100110110000010000011000010001000100001010011001101101001000000000001101010010011010100000000001100100110001 178856.0
10011000001100101000011111111001000011000000111111100101010001110001,1001,1001100000110010100001111111100100001100000011111110010101000111000100100010101110010101011111010110010000010111100110010011100000011010010110010100111100 182064.0
00001000001110000101010010101100100001011000111010100001000000001101,0000,0000100000111000010101001010110010000101100011101010000100000000110111100011111110000001000101011100111110011110001000001111011000010100110100110101000101 182112.0
00000100110001000100101010001000010101000101100110110111000001101011,0000,0000010011000100010010101000100001010100010110011011011100000110101101011110010010011101111101000100000011001000100100110110000100111011101100100000001100 182368.0
01001001010011000000101000110000010101001001100101100011010000011011,0100,0100100101001100000010100011000001010100100110010110001101000001101101010110011010110101010000010110110001100101100011110111000100111000010111001100111100 182376.0
10011110110011111111001001110101010100000000110101010000000101100001,1001,1001111011001111111100100111010101010000000011010101000000010110000111100111001010100000000000101000100000000000010111101101001010110010000011011001010001 182728.0
best: 1.1937149763762225
00000000001101101000101010111001010000001001100110110101000001101011,0000,0000000000110110100010101011100101000000100110011011010100000110101101011110101010010101011101001101000011000110101100010110100000101010100100001000011100 178432.0
00011000001000001100010111101101010011011101111010101000100111011111,0001,0001100000100000110001011110110101001101110111101010100010011101111110100010101000001111111110011010010000100110101100010011110000000010110100011000010101 183880.0
01001000001011000000101000110000110100001001101001100011010000111011,0100,0100100000101100000010100011000011010000100110100110001101000011101101100110001110000101010000011111010000110111100111110111000000001100010110001100110100 179008.0
10000000010010000101110011001110011001010101001001100101000000101011,1000,1000000001001000010111001100111001100101010100100110010100000010101101111100000000111000001001000110001101010000100100100010000100110001100101000100001100 201152.0
10000100010010000000010011000110011001011011011001100100000101000111,1000,1000010001001000000001001100011001100101101101100110010000010100011100010001000100011010111001001101001000000000001100110010010000100010001001100000111001 178792.0
10010000000010000100010010100010111001011011111010101000000100000111,1001,1001000000001000010001001010001011100101101111101010100000010000011110100011000100001011010101011000111000010100001101010010011010100000100000001100110101 200472.0
00001000001100011000111010101110100001011000110010101100100010001101,0000,0000100000110001100011101010111010000101100011001010110010001000110111110011101000001011001101010010011000010110101000010011111000011010110100110101011100 177720.0
00000001010011000100111011001000010101000101101000100111110001001011,0000,0000000101001100010011101100100001010100010110100010011111000100101101001110010000011100011000000100100011101000100101110110000000111101001100000000001100 183720.0
10001110010010111111111001000110010100001000111101000100000101100001,1000,1000111001001011111111100100011001010000100011110100010000010110000101010111000010011000011000001101100000000000011101111110001110110010000011010001111100 183120.0
11111000011011011001010010101000111011011100111000110011010100111111,1111,1111100001101101100101001010100011101101110011100011001101010011111101110011000100000000010101011010110110110110101100000100001100101111101000010100010101 291232.0
00011001001110010101001011001101100011001000101010110001000100011101,0001,0001100100111001010100101100110110001100100010101011000100010001110111100110110010000001010100011101110011010100011000101111011100011000110101110100000111 182400.0
00010100100000010000101111000111000001000101100110110110000001000111,0001,0001010010000001000010111100011100000100010110011011011000000100011101011110010110011001011101000101000111111000010100110111011000011101100110010100101111 183216.0
11011000011011011111010101110000010011001010011010101111000001110101,1101,1101100001101101111101010111000001001100101001101010111100000111010100010011110000010011010010010011110101001111110000010111111100010011011100111100111100 184472.0
10001001001000101010101110010101001111110101110110111100100110010011,1000,1000100100100010101010111001010100111111010111011011110010011001001110010010100000100001111010100000001000101110101000110000110100011010110101100000011010 192336.0
10001010011001000101010110101000101000000111111010101001010101101100,1000,1000101001100100010101011010100010100000011111101010100101010110110001110010111111001111100101011010010010010110001000010101011001101100100110011110110101 179280.0
11011001001011000000111101110001011011001000101011001111010011111100,1101,1101100100101100000011110111000101101100100010101100111101001111110000010010001100010111010011010110010001000111101110010111110000010111010110011100111100 173824.0
10000100010010000100111010000110011001011001101011100101000101100011,1000,1000010001001000010011101000011001100101100110101110010100010110001101010001000110011010111001001101001001000000101100110010000100110010101001100000111100 178144.0
10000000000010000000010011100110111001011011011001101100000100000110,1000,1000000000001000000001001110011011100101101101100110110000010000011000010001000100001010011001101101001000000000001101010010011010100000000001100100110001 178856.0
11011001011011000000111001100001010010111000101011010001000011111100,1101,1101100101101100000011100110000101001011100010101101000100001111110001010011101110010111010011011100110100000110001100000111110001010100110100111100011100 179600.0
00001000001001011000111111111111000011110001110110101100100011011011,0000,0000100000100101100011111111111100001111000111011010110010001101101110110010101000001111111110010010011000100110101100010011110000011010110101010000011110 179712.0
01000001010010000001110011011010010101000101001000000101110000001010,0100,0100000101001000000111001101101001010100010100100000010111000000101001101110001000111000001000000110100111111100000001100111000000110101000101000100001100 180728.0
10011000001100101000011111111001000011000000111111100101010001110001,1001,1001100000110010100001111111100100001100000011111110010101000111000100100010101110010101011111010110010000010111100110010011100000011010010110010100111100 182064.0
best: 1.1937149763762225
10000001011010000101111011001101011011011101101011100101000010111001,1000,1000000101101000010111101100110101101101110110101110010100001011100101110011101000011111011001001100111100000000001100000011010001010100110101111100001100 176960.0
00000000011000000000100010010001010000011001100100110100000101000011,0000,0000000001100000000010001001000101000001100110010011010000010100001100010011100010011001011101001101000010000110101100110010100000101010000001001000011001 193376.0
00011000011000001100010111001001010001001101111000100101110101001011,0001,0001100001100000110001011100100101000100110111100010010111010100101101001110011000001101111010010010110011100100101100110111100000100111011100001000010101 186656.0
00011000001110100100001010101001110000001000101010110001000101101011,0001,0001100000111010010000101010100111000000100010101011000100010110101101110110111010000001010100001101100011010100101100110110111000001010110100100100001101 180816.0
11000001011011000001110011111000011101000111001000101001110100101110,1100,1100000101101100000111001111100001110100011100100010100111010010111001100110101000101101001101000010110111010100000000100111010000101101100100010100001101 177136.0
00001100011010011100111010101110000001011000100011100101100011101001,0000,0000110001101001110011101010111000000101100010001110010110001110100101110001000000011010001101001011011001000000101100110011011000111010100100100000011100 201520.0
00001010011011000100110110110000111000000101101010101011010101101100,0000,0000101001101100010011011011000011100000010110101010101101010110110001100110011111001111100001011110010010110111001100110111010000001100100110011100110100 179944.0
10000000001011000000111111100000011011001001001001101100010001101110,1000,1000000000101100000011111110000001101100100100100110110001000110111000010011000100011110011011001111010001000100101110010011110000000011010110111000111001 173232.0
00001100000001011000111111101111000011110001100110111100100011000111,0000,0000110000000101100011111110111100001111000110011011110010001100011111111010100010001101011110010110010010111010000100010111011000011101100100010100011110 178072.0
00001001001101101000000111111001010000001001100110100001000000000000,0000,0000100100110110100000011111100101000000100110011010000100000000000001011100101010110000011101101001001010010100001110010101100110101011000101001010010100 187216.0
10001001000000010000011000100110100001001000110011001100110010101101,1000,1000100100000001000001100010011010000100100011001100110011001010110111101011100010001101001101011010101010000111011100010010111000111110111100010001011000 195440.0
01011001001110010001110011101101000001011010101010000101100000011101,0101,0101100100111001000111001110110100000101101010101000010110000001110111100100111001000000010110111101110101000111001000101100011010011101111101001000000011 188160.0
01011101010000000000010101100101110011101001011001011101111100111000,0101,0101110101000000000001010110010111001110100101100101110111110011100001011101101111010111011001011100110110000011001100000110111101100101110100101100011100 189816.0
11011001001010000010011010100010011110111000101101011011000011101100,1101,1101100100101000001001101010001001111011100010110101101100001110110001011011101010110011110010001000110001000110001011101101100001000110110000110100011100 182608.0
01011011110011010000101111111001000010111100110011010000000001111000,0101,0101101111001101000010111111100100001011110011001101000000000111100000010010011110001111011110011101110001100110101100100001000100011000110100111100011100 175728.0
11011001001011000000111101110001011011001000101011001111010011111100,1101,1101100100101100000011110111000101101100100010101100111101001111110000010010001100010111010011010110010001000111101110010111110000010111010110011100111100 173824.0
00001000001100011000111010101110100001011000110010101100100010001101,0000,0000100000110001100011101010111010000101100011001010110010001000110111110011101000001011001101010010011000010110101000010011111000011010110100110101011100 177720.0
10000100010010000100111010000110011001011001101011100101000101100011,1000,1000010001001000010011101000011001100101100110101110010100010110001101010001000110011010111001001101001001000000101100110010000100110010101001100000111100 178144.0
00000000001101101000101010111001010000001001100110110101000001101011,0000,0000000000110110100010101011100101000000100110011011010100000110101101011110101010010101011101001101000011000110101100010110100000101010100100001000011100 178432.0
10000100010010000000010011000110011001011011011001100100000101000111,1000,1000010001001000000001001100011001100101101101100110010000010100011100010001000100011010111001001101001000000000001100110010010000100010001001100000111001 178792.0
10000000000010000000010011100110111001011011011001101100000100000110,1000,1000000000001000000001001110011011100101101101100110110000010000011000010001000100001010011001101101001000000000001101010010011010100000000001100100110001 178856.0
01001000001011000000101000110000110100001001101001100011010000111011,0100,0100100000101100000010100011000011010000100110100110001101000011101101100110001110000101010000011111010000110111100111110111000000001100010110001100110100 179008.0
best: 1.1896494890671354
01011001001100011000111010101101100001011000110010000100100010001101,0101,0101100100110001100011101010110110000101100011001000010010001000110111110101111001001001010101110000111000000110101000111010111010011010111100001000001000 186176.0
00000101001101000100001010011111010001001001100111100101000000100011,0000,0000010100110100010000101001111101000100100110011110010100000010001101010101000010110010111001101101001001010100001110110011100110101011101001100000111100 190056.0
11001001001011000000111101110001011011000100101010101001010110111100,1100,1100100100101100000011110111000101101100010010101010100101011011110001110010101000100101011011010010110111000101100010010111110000010111010110010100001100 176296.0
00011000001100101000101010101010100000001000110010111001000000101001,0001,0001100000110010100010101010101010000000100011001011100100000010100111110110101000000011000101011100101001010100101000110011111000011010110100100101011100 176152.0
00000000011000000100010111101001011001001001101001100101110001001110,0000,0000000001100000010001011110100101100100100110100110010111000100111001011010000000011100011010011111010011000100101100110111110000000011011110001000011101 176816.0
10011100001110100100011011100010010000011010111001110100000101001111,1001,1001110000111010010001101110001001000001101011100111010000010100111101110110100110000011010000001101100010010000001100110010010000100010001001100100101001 181664.0
10000001011010000101111011001101011011011101101011100101000010111001,1000,1000000101101000010111101100110101101101110110101110010100001011100101110011101000011111011001001100111100000000001100000011010001010100110101111100001100 176960.0
01000000001010000000111011101101000001001000001000100100100000001110,0100,0100000000101000000011101110110100000100100000100010010010000000111001000000010100010110010010101101010101000101101010100000111000011101110111101000001001 185440.0
00011110110011010000111111101111010010111101110011110101000101100010,0001,0001111011001101000011111110111101001011110111001111010100010110001001010010011110001110111100011101000001100010101100100010000100010010110000110000111100 175120.0
01000101111001001101111001000101111110011001111111110101101101011111,0100,0100010111100100110111100100010111111001100111111111010110110101111111100111101000111111011001001000000100010100001100000001010110000100100100011000011111 178392.0
11001001101001010000111101100011110111001000111011001111100110111001,1100,1100100110100101000011110110001111011100100011101100111110011011100100011000001101010111100101010001010111000101101110010111011100011011011010001110111100 186144.0
00000100001111011100111010110010100000101001000011100110000000111001,0000,0000010000111101110011101011001010000010100100001110011000000011100100111010001010110111011100011100010110000011101010011110101100000010100101010110101101 194928.0
01011011001011101110101000111000110000101011010001100111111010111011,0101,0101101100101110111010100011100011000010101101000110011111101011101101110110001110101101101011011111011110000101101011111111000010001100011111001100010100 178344.0
10010011101010010011011100010010101111111000101101011011000101101000,1001,1001001110101001001101110001001010111111100010110101101100010110100001001011000101110000110100001000111001000110100011111000100011000111101010110100011100 198768.0
11110001101010000000111000110001010011000011101010001110010010101100,1111,1111000110101000000011100011000101001100001110101000111001001010110001100000001100110111011010110100101111001111101110010111111001110110010010011100111111 291232.0
10000000001011000000111111100000011011001001001001101100010001101110,1000,1000000000101100000011111110000001101100100100100110110001000110111000010011000100011110011011001111010001000100101110010011110000000011010110111000111001 173232.0
11011001001011000000111101110001011011001000101011001111010011111100,1101,1101100100101100000011110111000101101100100010101100111101001111110000010010001100010111010011010110010001000111101110010111110000010111010110011100111100 173824.0
01011011110011010000101111111001000010111100110011010000000001111000,0101,0101101111001101000010111111100100001011110011001101000000000111100000010010011110001111011110011101110001100110101100100001000100011000110100111100011100 175728.0
10000001011010000101111011001101011011011101101011100101000010111001,1000,1000000101101000010111101100110101101101110110101110010100001011100101110011101000011111011001001100111100000000001100000011010001010100110101111100001100 176960.0
11000001011011000001110011111000011101000111001000101001110100101110,1100,1100000101101100000111001111100001110100011100100010100111010010111001100110101000101101001101000010110111010100000000100111010000101101100100010100001101 177136.0
00001000001100011000111010101110100001011000110010101100100010001101,0000,0000100000110001100011101010111010000101100011001010110010001000110111110011101000001011001101010010011000010110101000010011111000011010110100110101011100 177720.0
00001100000001011000111111101111000011110001100110111100100011000111,0000,0000110000000101100011111110111100001111000110011011110010001100011111111010100010001101011110010110010010111010000100010111011000011101100100010100011110 178072.0
best: 1.1896494890671354
11011101001011000000111101100111011010101000110011000101000001111010,1101,1101110100101100000011110110011101101010100011001100010100000111101000010010011110010111011011011101010001100110101110010010000000010011110010010000111100 174376.0
10000001011010000101111011001101011011011101101011100101000010111001,1000,1000000101101000010111101100110101101101110110101110010100001011100101110011101000011111011001001100111100000000001100000011010001010100110101111100001100 176960.0
00001000001100011000111010101110100001011000110010101100100010001101,0000,0000100000110001100011101010111010000101100011001010110010001000110111110011101000001011001101010010011000010110101000010011111000011010110100110101011100 177720.0
11000001001011000000110101111000011011000101001001001001010000111110,1100,1100000100101100000011010111100001101100010100100100100101000011111000100110101100001111011101010010110011010111000100000111110000100101000110010100011101 177936.0
11011001001111101001111010111000000000000010001010101001110000101001,1101,1101100100111110100111101011100000000000001000101010100111000010100101110110101000100011001101010000100101010100000000100011110000111010100100110100001101 176136.0
10000100011110000100011111100001010000011010111001100101010101001111,1000,1000010001111000010001111110000101000001101011100110010101010100111101111010000000001011010000011101110011010000101100110010110000100011011010100100101001 200184.0
00001010000011000000111111100111011011001001101001101101010101101110,0000,0000101000001100000011111110011101101100100110100110110101010110111000010010011110011110111001001101010001100000101100110010110100000011110100111000111000 173536.0
00000000000011000000111111100100011011101001101011101101010101101110,0000,0000000000001100000011111110010001101110100110101110110101010110111000010011010110011110011100001101000001000010101110000011110000000011010100110000111100 173248.0
10000001001010000000111111001101011011001101101001100101010011101100,1000,1000000100101000000011111100110101101100110110100110010101001110110001110011001100011110011001001111011100000000001100010011010000010100010101111100011100 194864.0
11010001001011000100111001111001011011010100011000111101010010111000,1101,1101000100101100010011100111100101101101010001100011110101001011100001000010101011100101101011110010111010000101000101001100110100010101010111010010000111 179328.0
01000001010011000000011110111001101011000111001000101101011010111001,0100,0100000101001100000001111011100110101100011100100010110101101011100111001010001101100100110001010010001011110010110110011111100100010011011101001000001100 195288.0
11011001000010000000101000000001011101000000000011100111010010011100,1101,1101100100001000000010100000000101110100000000001110011101001001110000010001011000100011000111111110010101010101001110010011110101010111000111011011111000 197664.0
01010011111010111110101111111000000010111100110111011010001011011000,0101,0101001111101011111010111111100000001011110011011101101000101101100001011011111110111011011110011101110111111110101110100001000100000001110110111101011000 193528.0
10001110101010001001011100100001011000000001001010101100110011001110,1000,1000111010101000100101110010000101100000000100101010110011001100111010010010001110001100011011101111001101000100111011010010110011010000011110111001110001 198616.0
00110111001101010101001010010100010001010100110001110101000011100001,0011,0011011100110101010100101001010001000101010011000111010100001110000111010101000111100010011100001111100001010101010110110010000010110011101001101100110100 291232.0
10000000001011000000111111100000011011001001001001101100010001101110,1000,1000000000101100000011111110000001101100100100100110110001000110111000010011000100011110011011001111010001000100101110010011110000000011010110111000111001 173232.0
11011001001011000000111101110001011011001000101011001111010011111100,1101,1101100100101100000011110111000101101100100010101100111101001111110000010010001100010111010011010110010001000111101110010111110000010111010110011100111100 173824.0
00011110110011010000111111101111010010111101110011110101000101100010,0001,0001111011001101000011111110111101001011110111001111010100010110001001010010011110001110111100011101000001100010101100100010000100010010110000110000111100 175120.0
01011011110011010000101111111001000010111100110011010000000001111000,0101,0101101111001101000010111111100100001011110011001101000000000111100000010010011110001111011110011101110001100110101100100001000100011000110100111100011100 175728.0
00011000001100101000101010101010100000001000110010111001000000101001,0001,0001100000110010100010101010101010000000100011001011100100000010100111110110101000000011000101011100101001010100101000110011111000011010110100100101011100 176152.0
11001001001011000000111101110001011011000100101010101001010110111100,1100,1100100100101100000011110111000101101100010010101010100101011011110001110010101000100101011011010010110111000101100010010111110000010111010110010100001100 176296.0
00000000011000000100010111101001011001001001101001100101110001001110,0000,0000000001100000010001011110100101100100100110100110010111000100111001011010000000011100011010011111010011000100101100110111110000000011011110001000011101 176816.0
best: 1.1896494890671354
01010001010011010000111111110001010011111100111011010001010001101100,0101,0101000101001101000011111111000101001111110011101101000101000110110000010010010110001111011110001101110001100110101100000001100000001001110100111000011100 175280.0
00001000000011000000111111100100011011101001101001101101010101101110,0000,0000100000001100000011111110010001101110100110100110110101010110111000010010010110011110111000001101000001100010101110100010110100000011010100110000111000 173840.0
01001010110000010000111111111000000000111000110011100100100011011001,0100,0100101011000001000011111111100000000011100011001110010010001101100110010010001100001011011110010101110001110110101000000011111100011000110100110100011100 176576.0
10010011111011000000101111111001011011001101000001011000000001101110,1001,1001001111101100000010111111100101101100110100000101100000000110111000010010000100001111011010011101110001000100101110000001010100011010110100111000011100 174800.0
10001001001011000000111101100001011011101001001011001101000001111110,1000,1000100100101100000011110110000101101110100100101100110100000111111000010010001110010111011011001101010001000100101110010011100000000011110010010000111100 173680.0
00000000000011000000111111100000011011101001001001101100010101101110,0000,0000000000001100000011111110000001101110100100100110110001010110111000010011010100011110011000001111010001000110101110010011110000000011010100110000111001 173536.0
10010001001011000000111101110001011011101000101011101101010011111100,1001,1001000100101100000011110111000101101110100010101110110101001111110000010010000100011110011110001111000001000111101110010011110000000111010110010000111100 173248.0
01011001100011000000101101110001010011101100101011010001000011111100,0101,0101100110001100000010110111000101001110110010101101000100001111110000010010001110011111011111010111110001000110101110010101110000011001010110011100011100 174368.0
00001010001011000000111111100010011011001001001001101100010001101110,0000,0000101000101100000011111110001001101100100100100110110001000110111000010010000100011110011011001111010001000100101100010010110000000011110110111000111000 173536.0
11110110011010111110101111001000010111100010000100111111101111011000,1111,1111011001101011111010111100100001011110001000010011111110111101100000011110101010111110011000011101010101110100101100111011000000000010010010110101011000 291232.0
00100011011001000110011111010001011000001001010001110001001001011110,0010,0010001101100100011001111101000101100000100101000111000100100101111011011011000001010111011000011110110011000101001100110111010100000011011111011000010101 291232.0
01001001011011011000111101010111011011000000110010100001110111111100,0100,0100100101101101100011110101011101101100000011001010000111011111110011100000101110100101000011000010111111100001100000010001110001010011010010110110011111 186712.0
11000001000111001010110111111101011010000100000001001010001001111010,1100,1100000100011100101011011111110101101000010000000100101000100111101010001010101101001111011001110100011010010011101100011000110000110101001010011100010011 193848.0
01001000001001110000011010111110111011001011110010101101110010011101,0100,0100100000100111000001101011111011101100101111001010110111001001110110101010000000101001001110010010011000010010111000011100011010010010010100110101110101 197464.0
11001001010011011010011110101001000111000110001100100101011000001001,1100,1100100101001101101001111010100100011100011000110010010101100000100111011111001101101100110000010010100011100000010110101011100110000010001101001011111100 185792.0
