Optimizing /h/ywang30/nofib/shootout/binary-trees
10000001010010011101111100000000100110110000011101 -4.0
00010010101011010101011011000100101100100000111100 -4.0
10000000111001110111011110101111111100100001100100 -4.0
00001011010011111111010000111110111100110010010001 -4.0
01001001111000110101001100001110101110000001101110 -4.0
00100001011101011100001100101000111110100010001001 -4.0
10000010010001111011111000111010111100111101010101 -4.0
00101001010111101111111010100011010011100000110100 -4.0
00100110101011011101101100100001101101101001010001 -4.0
10011001101000010100101110000011010010000100001100 -4.0
11010010000010000001001111100100100100110010001100 -4.0
11100000100100110001111100000000101111010000000000 -4.0
00001000000001101011001010100010011000100001001000 -4.0
11011010100000101100100010010001111110000100101101 -4.0
01001000100010011111111100110000000000101110011001 -4.0
00001010010000110001011110101111101100001000001000 -4.0
00000001011100111111111010100001111011100000101101 -4.0
00100001001100111111111101000101101110100000000100 -4.0
10011000010010010101001110100101110010110000101100 -4.0
10000000010001111011011010101010111000101001000000 -4.0
00001011010001111011110000011110111100110100010101 -4.0
best: 2.0
11010110100010101101100110110001111100100000111001 -4.0
00011000000010010111111110110101010010111110011100 -4.0
11011010100000001101000011000000111100100100111101 -4.0
00001011010000111001010010001111111100011100011101 -4.0
10000000111001110111011110101111111100100001100100 -4.0
00100110101101010001111000101101101111100000100100 -4.0
00011001001000110101101010000011010010100100101100 -4.0
10001000111000101101101110100011111100000100101101 -4.0
01000001011000111101011000101101111110000001101100 -4.0
00000101011100001110001101100111101111000110100000 -4.0
00101011010011001010000010111000111000110011000000 -4.0
10100001011000000101001100111010111100100110011011 -4.0
10011000110110000001110110110001110100010011100100 -4.0
00100011100010011101000101100101001000101000110101 -4.0
10100000101110110111111100100111001110101001010001 -4.0
11101010001101010011011011101111101010100000100100 -4.0
10000001010010011101111100000000100110110000011101 -4.0
00010010101011010101011011000100101100100000111100 -4.0
10000000111001110111011110101111111100100001100100 -4.0
00001011010011111111010000111110111100110010010001 -4.0
01001001111000110101001100001110101110000001101110 -4.0
00100001011101011100001100101000111110100010001001 -4.0
best: 2.0
00001011011010111111011100111110111110010001101011 -4.0
01001001010000111101010010101101111110001001011100 -4.0
01010110101100011101100110101101111100100000110000 -4.0
00011000001011010101011011000100111010101100111100 -4.0
10000000101101110111111110100111011110100001000001 -4.0
11000000110011110111110110101101111100100000100100 -4.0
10010010101010010101111100100101001110101000111101 -4.0
10001000111000111001010110001111111100010100111101 -4.0
10000001111001100111011110101011111100100001010101 -4.0
11010000011001010101010111001000011110101100011101 -4.0
00000100010111110101010010011110101011100110100000 -4.0
00011010000000011011011111001110010000110110011100 -4.0
00011011001010010001101011000110011010100101101110 -4.0
00001011111011100111011110011100010101100110100011 -4.0
11100010110010011101110100010100100110010001011111 -4.0
11010110100010101101100110110001111100100000111001 -4.0
00011000000010010111111110110101010010111110011100 -4.0
11011010100000001101000011000000111100100100111101 -4.0
00001011010000111001010010001111111100011100011101 -4.0
10000000111001110111011110101111111100100001100100 -4.0
00100110101101010001111000101101101111100000100100 -4.0
00011001001000110101101010000011010010100100101100 -4.0
best: 2.0
00001011001010110001111100001111001110011100011101 -4.0
01011001010000111101100010000111011010100101001100 -4.0
11000100101000101101100110101001111100100000110001 -4.0
11100000110011011111111100001100111100110001010110 -4.0
00011000000011010101111010110101111010111110111100 -4.0
00000000111011110111010110011110101011100110100000 -4.0
10010000101010010001111100101111111110001100111101 -4.0
10010000111001110101011011100111111110100001101100 -4.0
00010011011010011111111100100110001110110000111101 -4.0
00001011001010110001101010000010011000100110101100 -4.0
00100100111011110001010001101100101110100100010110 -4.0
00000100010010011111010001011100101011110110110011 -4.0
00101000001011010101010111100100011110111100111100 -4.0
00011010011000000100010000011010010000010101011101 -4.0
10111000001011000011010111011111101101010111100101 -4.0
00001011011010111111011100111110111110010001101011 -4.0
01001001010000111101010010101101111110001001011100 -4.0
01010110101100011101100110101101111100100000110000 -4.0
00011000001011010101011011000100111010101100111100 -4.0
10000000101101110111111110100111011110100001000001 -4.0
11000000110011110111110110101101111100100000100100 -4.0
10010010101010010101111100100101001110101000111101 -4.0
best: 2.0
done evolving!
"all is well:)"
>>>>>>>>>>>>>>FINISH OPTIMIZATION>>>>>>>>>>>>>>>
25599.28user 1321.52system 9:30:02elapsed 78%CPU (0avgtext+0avgdata 394956maxresident)k
1152576inputs+3239712outputs (719major+153729221minor)pagefaults 0swaps
