Optimizing /h/ywang30/nofib/real/pic
11100110110010111,11100,11100110,11100,1110011011001011111100111011001101100,,1110011011001011111100111011001101100010001100000000000011,111001101100101111110011101100110110001000110000000,111001101100101111110011101100110110001000110 6997296.0
10111000100010000,10111,10111000,10111,1011100010001000001000011110111111111,,1011100010001000001000011110111111111010001011110001000111,101110001000100000100001111011111111101000101111000,101110001000100000100001111011111111101000101 4922952.0
01000001010010000,01000,01000001,01000,0100000101001000000111001101101001010,,0100000101001000000111001101101001010100010100100000010111,010000010100100000011100110110100101010001010010000,010000010100100000011100110110100101010001010 4234352.0
10010110110000000,10010,10010110,10010,1001011011000000000011001010110101100,,1001011011000000000011001010110101100001110100000100000001,100101101100000000001100101011010110000111010000010,100101101100000000001100101011010110000111010 3213080.0
10100000100100101,10100,10100000,10100,1010000010010010101001111001101110011,,1010000010010010101001111001101110011000000011110111010111,101000001001001010100111100110111001100000001111011,101000001001001010100111100110111001100000001 3203232.0
00100000010000000,00100,00100000,00100,0010000001000000000001001010110001100,,0010000001000000000001001010110001100101111101000100010001,001000000100000000000100101011000110010111110100010,001000000100000000000100101011000110010111110 3266528.0
10110000000100101,10110,10110000,10110,1011000000010010100101111111101000011,,1011000000010010100101111111101000011000000111010011000101,101100000001001010010111111110100001100000011101001,101100000001001010010111111110100001100000011 3289008.0
10000000000010000,10000,10000000,10000,1000000000001000000001001110011011100,,1000000000001000000001001110011011100101101101100110110000,100000000000100000000100111001101110010110110110011,100000000000100000000100111001101110010110110 3350224.0
00110110010011000,00110,00110110,00110,0011011001001100000100001010101000011,,0011011001001100000100001010101000011000101010000000100001,001101100100110000010000101010100001100010101000000,001101100100110000010000101010100001100010101 3478688.0
10000000001110000,10000,10000000,10000,1000000000111000000001000110011011000,,1000000000111000000001000110011011000001100100101111100000,100000000011100000000100011001101100000110010010111,100000000011100000000100011001101100000110010 3552800.0
01000000010011000,01000,01000000,01000,0100000001001100000110001001000011010,,0100000001001100000110001001000011010100010110010110001101,010000000100110000011000100100001101010001011001011,010000000100110000011000100100001101010001011 3598016.0
best: 0.8680427410816979
00010100000000001,00010,00010100,00010,0001010000000000100011001011100001110,,0001010000000000100011001011100001110001100100000110000001,000101000000000010001100101110000111000110010000011,000101000000000010001100101110000111000110010 2826920.0
00110010000001001,00110,00110010,00110,0011001000000100100100011110111000011,,0011001000000100100100011110111000011000100011000110100011,001100100000010010010001111011100001100010001100011,001100100000010010010001111011100001100010001 3552544.0
00100000000011000,00100,00100000,00100,0010000000001100000111001101001001010,,0010000000001100000111001101001001010000010100000111001101,001000000000110000011100110100100101000001010000011,001000000000110000011100110100100101000001010 3502832.0
10000100010011000,10000,10000100,10000,1000010001001100000110001010011011101,,1000010001001100000110001010011011101001101111100110100100,100001000100110000011000101001101110100110111110011,100001000100110000011000101001101110100110111 3354952.0
00100000010000000,00100,00100000,00100,0010000001000000000001001010110001100,,0010000001000000000001001010110001100101111101000100010001,001000000100000000000100101011000110010111110100010,001000000100000000000100101011000110010111110 3266528.0
00110110010010000,00110,00110110,00110,0011011001001000000001001010100000010,,0011011001001000000001001010100000010100111011000000100001,001101100100100000000100101010000001010011101100000,001101100100100000000100101010000001010011101 3263432.0
10010110110000000,10010,10010110,10010,1001011011000000000011001010110101100,,1001011011000000000011001010110101100001110100000100000001,100101101100000000001100101011010110000111010000010,100101101100000000001100101011010110000111010 3213080.0
10000100110001000,10000,10000100,10000,1000010011000100000111001000001001100,,1000010011000100000111001000001001100001110100000110001101,100001001100010000011100100000100110000111010000011,100001001100010000011100100000100110000111010 3394472.0
10000000011010000,10000,10000000,10000,1000000001101000000111001010001011010,,1000000001101000000111001010001011010100100110110110010101,100000000110100000011100101000101101010010011011011,100000000110100000011100101000101101010010011 3641832.0
01110000010110000,01110,01110000,01110,0111000001011000010011000010110000010,,0111000001011000010011000010110000010111111100001001101010,011100000101100001001100001011000001011111110000100,011100000101100001001100001011000001011111110 6997296.0
00010001010000010,00010,00010001,00010,0001000101000001000000101000110101001,,0001000101000001000000101000110101001100101100100111010001,000100010100000100000010100011010100110010110010011,000100010100000100000010100011010100110010110 3129704.0
00010000010010010,00010,00010000,00010,0001000001001001010111011000110110000,,0001000001001001010111011000110110000101010100010111001000,000100000100100101011101100011011000010101010001011,000100000100100101011101100011011000010101010 6997296.0
00110101010000010,00110,00110101,00110,0011010101000001011011001011101100111,,0011010101000001011011001011101100111000101001000101100000,001101010100000101101100101110110011100010100100010,001101010100000101101100101110110011100010100 6997296.0
00110001000101011,00110,00110001,00110,0011000100010101101100111001000000101,,0011000100010101101100111001000000101000010111010010000101,001100010001010110110011100100000010100001011101001,001100010001010110110011100100000010100001011 3491088.0
00010010000011000,00010,00010010,00010,0001001000001100000001011110110000000,,0001001000001100000001011110110000000000000101100110010000,000100100000110000000101111011000000000000010110011,000100100000110000000101111011000000000000010 3076792.0
00000000010000000,00000,00000000,00000,0000000001000000000001001110110001000,,0000000001000000000001001110110001000101101101100110010001,000000000100000000000100111011000100010110110110011,000000000100000000000100111011000100010110110 3036976.0
00110100000000001,00110,00110100,00110,0011010000000000100101101011101000011,,0011010000000000100101101011101000011000100010000011100001,001101000000000010010110101110100001100010001000001,001101000000000010010110101110100001100010001 3045272.0
00010100000011000,00010,00010100,00010,0001010000001100000100001010011001101,,0001010000001100000100001010011001101001101011100110100000,000101000000110000010000101001100110100110101110011,000101000000110000010000101001100110100110101 3154000.0
10100000100100101,10100,10100000,10100,1010000010010010101001111001101110011,,1010000010010010101001111001101110011000000011110111010111,101000001001001010100111100110111001100000001111011,101000001001001010100111100110111001100000001 3203232.0
10010110110000000,10010,10010110,10010,1001011011000000000011001010110101100,,1001011011000000000011001010110101100001110100000100000001,100101101100000000001100101011010110000111010000010,100101101100000000001100101011010110000111010 3213080.0
00100000010000000,00100,00100000,00100,0010000001000000000001001010110001100,,0010000001000000000001001010110001100101111101000100010001,001000000100000000000100101011000110010111110100010,001000000100000000000100101011000110010111110 3266528.0
00000110000011000,00000,00000110,00000,0000011000001100000101001010001010001,,0000011000001100000101001010001010001001101010000100100001,000001100000110000010100101000101000100110101000010,000001100000110000010100101000101000100110101 3284152.0
best: 0.8080035487994219
10000000010101000,10000,10000000,10000,1000000001010100001110111010011110111,,1000000001010100001110111010011110111001000111100110100111,100000000101010000111011101001111011100100011110011,100000000101010000111011101001111011100100011 3699608.0
00010100010000010,00010,00010100,00010,0001010001000001000011101001100001111,,0001010001000001000011101001100001111000100100000110000001,000101000100000100001110100110000111100010010000011,000101000100000100001110100110000111100010010 3166360.0
10000100110011000,10000,10000100,10000,1000010011001100000111001000001011100,,1000010011001100000111001000001011100001111101000110000101,100001001100110000011100100000101110000111110100011,100001001100110000011100100000101110000111110 3394448.0
00010100010000000,00010,00010100,00010,0001010001000000000001101010100101000,,0001010001000000000001101010100101000001100100100110010001,000101000100000000000110101010010100000110010010011,000101000100000000000110101010010100000110010 2895560.0
00010000010001000,00010,00010000,00010,0001000001000100000001001010110001000,,0001000001000100000001001010110001000100110101100110010001,000100000100010000000100101011000100010011010110011,000100000100010000000100101011000100010011010 3361400.0
10010110100000000,10010,10010110,10010,1001011010000000000011101010100001101,,1001011010000000000011101010100001101000100110000011100001,100101101000000000001110101010000110100010011000001,100101101000000000001110101010000110100010011 3180752.0
10000010100001000,10000,10000010,10000,1000001010000100001001011001101110000,,1000001010000100001001011001101110000000000011100110010010,100000101000010000100101100110111000000000001110011,100000101000010000100101100110111000000000001 3710552.0
00100000010000000,00100,00100000,00100,0010000001000000000001001010110001100,,0010000001000000000001001010110001100101101101000100010001,001000000100000000000100101011000110010110110100010,001000000100000000000100101011000110010110110 3266528.0
10010100110000000,10010,10010100,10010,1001010011000000000011001010101101100,,1001010011000000000011001010101101100001110100000100000001,100101001100000000001100101010110110000111010000010,100101001100000000001100101010110110000111010 3460184.0
00011101000000001,00011,00011101,00011,0001110100000000100001111111100001110,,0001110100000000100001111111100001110001100100000111010001,000111010000000010000111111110000111000110010000011,000111010000000010000111111110000111000110010 3503568.0
00010111111100001,00010,00010111,00010,0001011111110000100001000010010101100,,0001011111110000100001000010010101100000110100000010000000,000101111111000010000100001001010110000011010000001,000101111111000010000100001001010110000011010 2673896.0
01010001010000010,01010,01010001,01010,0101000101000001010011001010110111000,,0101000101000001010011001010110111000101100100100100000011,010100010100000101001100101011011100010110010010010,010100010100000101001100101011011100010110010 6997296.0
10010101011011010,10010,10010101,10010,1001010101101101000010011000100111001,,1001010101101101000010011000100111001001101011101111100010,100101010110110100001001100010011100100110101110111,100101010110110100001001100010011100100110101 3690000.0
10100000110101101,10100,10100000,10100,1010000011010110100011110101100010101,,1010000011010110100011110101100010101000000011101111111111,101000001101011010001111010110001010100000001110111,101000001101011010001111010110001010100000001 3792704.0
00100010001100111,00100,00100010,00100,0010001000110011101000100000001111011,,0010001000110011101000100000001111011000010010010111010011,001000100011001110100010000000111101100001001001011,001000100011001110100010000000111101100001001 3017216.0
00010100000000001,00010,00010100,00010,0001010000000000100011001011100001110,,0001010000000000100011001011100001110001100100000110000001,000101000000000010001100101110000111000110010000011,000101000000000010001100101110000111000110010 2826920.0
00000000010000000,00000,00000000,00000,0000000001000000000001001110110001000,,0000000001000000000001001110110001000101101101100110010001,000000000100000000000100111011000100010110110110011,000000000100000000000100111011000100010110110 3036976.0
00110100000000001,00110,00110100,00110,0011010000000000100101101011101000011,,0011010000000000100101101011101000011000100010000011100001,001101000000000010010110101110100001100010001000001,001101000000000010010110101110100001100010001 3045272.0
00010010000011000,00010,00010010,00010,0001001000001100000001011110110000000,,0001001000001100000001011110110000000000000101100110010000,000100100000110000000101111011000000000000010110011,000100100000110000000101111011000000000000010 3076792.0
00010001010000010,00010,00010001,00010,0001000101000001000000101000110101001,,0001000101000001000000101000110101001100101100100111010001,000100010100000100000010100011010100110010110010011,000100010100000100000010100011010100110010110 3129704.0
00010100000011000,00010,00010100,00010,0001010000001100000100001010011001101,,0001010000001100000100001010011001101001101011100110100000,000101000000110000010000101001100110100110101110011,000101000000110000010000101001100110100110101 3154000.0
10100000100100101,10100,10100000,10100,1010000010010010101001111001101110011,,1010000010010010101001111001101110011000000011110111010111,101000001001001010100111100110111001100000001111011,101000001001001010100111100110111001100000001 3203232.0
best: 0.7642655105629375
00010111010100000,00010,00010111,00010,0001011101010000000001101010000101000,,0001011101010000000001101010000101000000100100100110000000,000101110101000000000110101000010100000010010010011,000101110101000000000110101000010100000010010 2675296.0
00110101111100001,00110,00110101,00110,0011010111110000100101100010001100101,,0011010111110000100101100010001100101000110110000011100000,001101011111000010010110001000110010100011011000001,001101011111000010010110001000110010100011011 3046024.0
00010000000000000,00010,00010000,00010,0001000000000000000001001011100001110,,0001000000000000000001001011100001110100110100100110010001,000100000000000000000100101110000111010011010010011,000100000000000000000100101110000111010011010 3080728.0
00010100010000000,00010,00010100,00010,0001010001000000000001001110100001000,,0001010001000000000001001110100001000001101101100110010001,000101000100000000000100111010000100000110110110011,000101000100000000000100111010000100000110110 2895624.0
10010110100000000,10010,10010110,10010,1001011010000000000011101010100001101,,1001011010000000000011101010100001101000100110000011100001,100101101000000000001110101010000110100010011000001,100101101000000000001110101010000110100010011 3180752.0
00010000010000010,00010,00010000,00010,0001000001000001000000101010100101000,,0001000001000001000000101010100101000000101100100110010001,000100000100000100000010101010010100000010110010011,000100000100000100000010101010010100000010110 3029064.0
00000100000011000,00000,00000100,00000,0000010000001100001110111010011000101,,0000010000001100001110111010011000101001100011100110100111,000001000000110000111011101001100010100110001110011,000001000000110000111011101001100010100110001 3492448.0
00010110000000001,00010,00010110,00010,0001011000000000100101100010011101110,,0001011000000000100101100010011101110000100110000010000000,000101100000000010010110001001110111000010011000001,000101100000000010010110001001110111000010011 2776920.0
00100110001100011,00100,00100110,00100,0010011000110001101101101001001110011,,0010011000110001101101101001001110011000010010010111000011,001001100011000110110110100100111001100001001001011,001001100011000110110110100100111001100001001 3103304.0
01000100110110001,01000,01000100,01000,0100010011011000101110110010111100101,,0100010011011000101110110010111100101101010110110111100101,010001001101100010111011001011110010110101011011011,010001001101100010111011001011110010110101011 3936688.0
00000100100010011,00000,00000100,00000,0000010010001001100011001010101011000,,0000010010001001100011001010101011000001100101000110000010,000001001000100110001100101010101100000110010100011,000001001000100110001100101010101100000110010 3196696.0
00010110000001110,00010,00010110,00010,0001011000000111010000011110011111000,,0001011000000111010000011110011111000010000111110011011100,000101100000011101000001111001111100001000011111001,000101100000011101000001111001111100001000011 6997296.0
00000111010000101,00000,00000111,00000,0000011101000010111001101010000101010,,0000011101000010111001101010000101010011101111000110000011,000001110100001011100110101000010101001110111100011,000001110100001011100110101000010101001110111 6997296.0
11001110010011010,11001,11001110,11001,1100111001001101000011010011001000100,,1100111001001101000011010011001000100101111101000110000101,110011100100110100001101001100100010010111110100011,110011100100110100001101001100100010010111110 5610960.0
00111100100001001,00111,00111100,00111,0011110010000100100011011111100001010,,0011110010000100100011011111100001010001001000000010000101,001111001000010010001101111110000101000100100000001,001111001000010010001101111110000101000100100 4057328.0
00010111111100001,00010,00010111,00010,0001011111110000100001000010010101100,,0001011111110000100001000010010101100000110100000010000000,000101111111000010000100001001010110000011010000001,000101111111000010000100001001010110000011010 2673896.0
00010100000000001,00010,00010100,00010,0001010000000000100011001011100001110,,0001010000000000100011001011100001110001100100000110000001,000101000000000010001100101110000111000110010000011,000101000000000010001100101110000111000110010 2826920.0
00010100010000000,00010,00010100,00010,0001010001000000000001101010100101000,,0001010001000000000001101010100101000001100100100110010001,000101000100000000000110101010010100000110010010011,000101000100000000000110101010010100000110010 2895560.0
00100010001100111,00100,00100010,00100,0010001000110011101000100000001111011,,0010001000110011101000100000001111011000010010010111010011,001000100011001110100010000000111101100001001001011,001000100011001110100010000000111101100001001 3017216.0
00000000010000000,00000,00000000,00000,0000000001000000000001001110110001000,,0000000001000000000001001110110001000101101101100110010001,000000000100000000000100111011000100010110110110011,000000000100000000000100111011000100010110110 3036976.0
00110100000000001,00110,00110100,00110,0011010000000000100101101011101000011,,0011010000000000100101101011101000011000100010000011100001,001101000000000010010110101110100001100010001000001,001101000000000010010110101110100001100010001 3045272.0
00010010000011000,00010,00010010,00010,0001001000001100000001011110110000000,,0001001000001100000001011110110000000000000101100110010000,000100100000110000000101111011000000000000010110011,000100100000110000000101111011000000000000010 3076792.0
best: 0.7642655105629375
00000000000100001,00000,00000000,00000,0000000000010000101001101010101001110,,0000000000010000101001101010101001110001100100000110000011,000000000001000010100110101010100111000110010000011,000000000001000010100110101010100111000110010 2948200.0
00100010001100111,00100,00100010,00100,0010001000110011101000100000001111011,,0010001000110011101000100000001111011000010010010111010011,001000100011001110100010000000111101100001001001011,001000100011001110100010000000111101100001001 3017216.0
00010111010100001,00010,00010111,00010,0001011101010000100101100010010101010,,0001011101010000100101100010010101010000100110000110000000,000101110101000010010110001001010101000010011000011,000101110101000010010110001001010101000010011 2838248.0
00010000000000011,00010,00010000,00010,0001000000000001100011101010100101110,,0001000000000001100011101010100101110001100100000110010001,000100000000000110001110101010010111000110010000011,000100000000000110001110101010010111000110010 2934536.0
00010100010000000,00010,00010100,00010,0001010001000000000001001110110001000,,0001010001000000000001001110110001000001101101100110010001,000101000100000000000100111011000100000110110110011,000101000100000000000100111011000100000110110 2895600.0
00010111010000000,00010,00010111,00010,0001011101000000000101100010000101100,,0001011101000000000101100010000101100000100100000010000000,000101110100000000010110001000010110000010010000001,000101110100000000010110001000010110000010010 2877168.0
00010110110000001,00010,00010110,00010,0001011011000000100001000010011101100,,0001011011000000100001000010011101100000110110000010000000,000101101100000010000100001001110110000011011000001,000101101100000010000100001001110110000011011 2622760.0
00010110110101000,00010,00010110,00010,0001011011010100000001011010010101100,,0001011011010100000001011010010101100000010100000110010000,000101101101010000000101101001010110000001010000011,000101101101010000000101101001010110000001010 3023248.0
00110010011100101,00110,00110010,00110,0011001001110010100001000000001101100,,0011001001110010100001000000001101100000010110010111010010,001100100111001010000100000000110110000001011001011,001100100111001010000100000000110110000001011 3052560.0
00011000010000000,00011,00011000,00011,0001100001000000010001011110010001000,,0001100001000000010001011110010001000100101110101111000001,000110000100000001000101111001000100010010111010111,000110000100000001000101111001000100010010111 6997296.0
10011000011000000,10011,10011000,10011,1001100001100000000011000111000010110,,1001100001100000000011000111000010110100111010101110000001,100110000110000000001100011100001011010011101010111,100110000110000000001100011100001011010011101 4052336.0
00010100001001001,00010,00010100,00010,0001010000100100100010011100100001101,,0001010000100100100010011100100001101001000110100100100001,000101000010010010001001110010000110100100011010010,000101000010010010001001110010000110100100011 3395056.0
00011110001001100,00011,00011110,00011,0001111000100110011101100010011001110,,0001111000100110011101100010011001110000100110010010101000,000111100010011001110110001001100111000010011001001,000111100010011001110110001001100111000010011 6997296.0
00011001011101000,00011,00011001,00011,0001100101110100000111001110010001101,,0001100101110100000111001110010001101100010100001110000010,000110010111010000011100111001000110110001010000111,000110010111010000011100111001000110110001010 4365472.0
00000111111100011,00000,00000111,00000,0000011111110001100001100010100000101,,0000011111110001100001100010100000101001000011011010100000,000001111111000110000110001010000010100100001101101,000001111111000110000110001010000010100100001 2669064.0
00010111111100001,00010,00010111,00010,0001011111110000100001000010010101100,,0001011111110000100001000010010101100000110100000010000000,000101111111000010000100001001010110000011010000001,000101111111000010000100001001010110000011010 2673896.0
00010111010100000,00010,00010111,00010,0001011101010000000001101010000101000,,0001011101010000000001101010000101000000100100100110000000,000101110101000000000110101000010100000010010010011,000101110101000000000110101000010100000010010 2675296.0
00010110000000001,00010,00010110,00010,0001011000000000100101100010011101110,,0001011000000000100101100010011101110000100110000010000000,000101100000000010010110001001110111000010011000001,000101100000000010010110001001110111000010011 2776920.0
00010100000000001,00010,00010100,00010,0001010000000000100011001011100001110,,0001010000000000100011001011100001110001100100000110000001,000101000000000010001100101110000111000110010000011,000101000000000010001100101110000111000110010 2826920.0
00010100010000000,00010,00010100,00010,0001010001000000000001101010100101000,,0001010001000000000001101010100101000001100100100110010001,000101000100000000000110101010010100000110010010011,000101000100000000000110101010010100000110010 2895560.0
00010100010000000,00010,00010100,00010,0001010001000000000001001110100001000,,0001010001000000000001001110100001000001101101100110010001,000101000100000000000100111010000100000110110110011,000101000100000000000100111010000100000110110 2895624.0
00100010001100111,00100,00100010,00100,0010001000110011101000100000001111011,,0010001000110011101000100000001111011000010010010111010011,001000100011001110100010000000111101100001001001011,001000100011001110100010000000111101100001001 3017216.0
best: 0.7496495789230583
00010110100101001,00010,00010110,00010,0001011010010100100011001011000001110,,0001011010010100100011001011000001110001000100000110000000,000101101001010010001100101100000111000100010000011,000101101001010010001100101100000111000100010 3166880.0
