Optimizing /h/ywang30/nofib/spectral/cryptarithm2
01001011100011110111010011110111100111000100110010011001100 2.7702424e7
01101011101101100011000011100100000111000110100011000101010 2.7702424e7
00101110011011001001111101001010011010011011000010100011001 2.850524e7
11100010010011110001111011000010111000000001011101100111101 6.3007792e7
01000001000010101011110011011100111001000101111101111011110 6.2909376e7
10000000101110101101011011111111000110000100101100011001110 6.3007816e7
00100000000110100101111001010110011110010011010100101000111 2.7743848e7
11101011110101111001000000111100011011000100000001000001011 2.7905344e7
11110011101101100111100111101100000111010110010101011001010 2.7702424e7
11101011101101100011100011100100000111000110100111001101010 2.7702424e7
01101011001111110011000011110110101011000110110011000001100 2.7702424e7
01111011101101100011000011100100000111000110100011000001010 2.7702424e7
00001010100010100111110001111011000011000100100101010011011 2.7702448e7
11000001010010110011110011111010111001000001100101110011010 2.7702448e7
10000000100010100111011001111010000111000101100100011010101 2.7702448e7
best: 0.9815754913613325
01111011101101100111100111101100000111000110000001011001010 2.7702424e7
01101011100101100011010011110110000111000110110011001101010 2.7702424e7
11110011100000101011001111110111000111000110100011000101010 2.7702448e7
00110011100010100111011011011110000111000100010111100100101 2.7702448e7
01101010100111100111011001101010001001000100010011001001100 2.7702424e7
11101011101101100011000011100100000111000110100011001001010 2.7702424e7
11111010101100100011000011100011000111000100100111000001100 2.7702448e7
01101011101101100011000011100100000111000110100111001001010 2.7702424e7
00100011000100100011000011101011000111010110010111011001010 2.7702448e7
00111010000111100111011001010111000101000100010110111001001 2.7702424e7
01101011100111100010000101110001011111100101100110001101010 2.8041912e7
00001010100000110001110000000011100101100000000001111101001 2.7905368e7
10010000010100110011000110101011000011000101111110110001010 6.3273888e7
00101001001011110111010101100110101011000101010011001101100 2.7702424e7
11000000010011100110010011111011000111010100100110001001110 2.8041912e7
00101010100011100111011001001010000101000000010100101001101 2.7702424e7
11101011101101100011000011100100000111000110100111001001010 2.7702424e7
01001011100011110111010011110111100111000100110010011001100 2.7702424e7
01101011101101100011000011100100000111000110100011000101010 2.7702424e7
11110011101101100111100111101100000111010110010101011001010 2.7702424e7
11101011101101100011100011100100000111000110100111001101010 2.7702424e7
01101011001111110011000011110110101011000110110011000001100 2.7702424e7
best: 0.9815754913613325
00101001001001110111010011100100001111000110110011001001010 2.7702424e7
01101011101101110011000011100110001011000110100111001101010 2.7702424e7
11110000010111100111010001111011000111000100010110111001110 2.7702424e7
01101011100001100111000011110101100111000100100010011001110 2.7702424e7
01101010100101100011011011101010001111000110010111001001000 2.7702424e7
00100011000110100111011011001011000111010100010111111001001 2.7702448e7
01101011100100100001110011000001000111100100000111101101000 2.7743848e7
11001011100111100011010011110101100111000100110010011001010 2.7702424e7
01111011101101100011100111100100000111000110100001010101010 2.7702424e7
00011010000011101110001000100010000101001101011110011011000 6.4041992e7
01110011110101111010000001010101011111100010100011000001000 2.8041912e7
00100000110111110011011000101011011111000110110011111001111 2.7863944e7
11000011011101100111110001100001010110000110001010100101010 6.3007792e7
01100011111101110011010011101100100111001110101011001011010 6.2909352e7
10111000010111111110110101011110000101010100010000110001101 2.8041912e7
01111011101101100111100111101100000111000110000001011001010 2.7702424e7
01101011100101100011010011110110000111000110110011001101010 2.7702424e7
01101010100111100111011001101010001001000100010011001001100 2.7702424e7
11101011101101100011000011100100000111000110100011001001010 2.7702424e7
01101011101101100011000011100100000111000110100111001001010 2.7702424e7
00111010000111100111011001010111000101000100010110111001001 2.7702424e7
00101001001011110111010101100110101011000101010011001101100 2.7702424e7
best: 0.9815754913613325
00101011110101110011001001101000011111000110100111111001110 2.7702424e7
01101011101101100111100111101100000111000110000101001001010 2.7702424e7
00100010010110100111011001111011000111010100010111111001000 2.7702448e7
00101001101001110011010111110110001011000110110011001101110 2.7702424e7
01101011100001100111000011110101100111000100100010011001110 2.7702424e7
00101001001001110111010001100110001011000110110011001101010 2.7702424e7
01101010100111100111011001101010001001000100010011001001100 2.7702424e7
01101011100001100111000011110101100111000100100010011001110 2.7702424e7
00101000100011100111010001100110101001000101010011001101100 2.7702424e7
01001111100101110011110010001110010110000000101110100100000 6.5116352e7
01001010100101010110001001101100001011000111000110001001001 2.8041912e7
01101011101000111010000011110110000101000010110001110001010 2.8041936e7
01101011001001110111111011110000000001100101101111001001101 6.2909352e7
01111110100100100011001110100000100010000111000101010000010 2.867276e7
01101010001111101011000010000110100111001111110110001111011 2.7863944e7
00101001001001110111010011100100001111000110110011001001010 2.7702424e7
01101011101101110011000011100110001011000110100111001101010 2.7702424e7
11110000010111100111010001111011000111000100010110111001110 2.7702424e7
01101011100001100111000011110101100111000100100010011001110 2.7702424e7
01101010100101100011011011101010001111000110010111001001000 2.7702424e7
11001011100111100011010011110101100111000100110010011001010 2.7702424e7
01111011101101100011100111100100000111000110100001010101010 2.7702424e7
best: 0.9815754913613325
01001011100101100011010011100000101111000100110111011001010 2.7702424e7
00101001101001100111010011110110001001000111110011001101100 2.7702424e7
00101001001001110011001001100100011111000110100111111101110 2.7702424e7
01101010110111100111010011111111000111000100010111001001010 2.7702424e7
01101011100101100111000011000111100111000100100110011111011 2.7702424e7
00101011100101100111001011110101100111000110100010111001110 2.7702424e7
01111001100101100111100111110010000111000110000101111001010 2.7702424e7
01101011100001110011010011110111001111000110110010001001110 2.7702424e7
01101011101001100111000111111101100111000100000011011001010 2.7702424e7
00110010100101100111011101110111110101001000110111101001010 2.7702424e7
11101111001111100101001111000100110000000011100110011001111 2.8511216e7
01101001101111101011000110010111000101001110000101101010000 2.7863944e7
01101000100101000011011000101111000001000101010001100101111 2.7678008e7
01101010001101111011010101001000100110010010100101111001100 2.7743824e7
00001000001101110011001011110010001011100111100101001100001 2.7702424e7
00101011110101110011001001101000011111000110100111111001110 2.7702424e7
01101011101101100111100111101100000111000110000101001001010 2.7702424e7
00101001101001110011010111110110001011000110110011001101110 2.7702424e7
01101011100001100111000011110101100111000100100010011001110 2.7702424e7
00101001001001110111010001100110001011000110110011001101010 2.7702424e7
01101010100111100111011001101010001001000100010011001001100 2.7702424e7
00101000100011100111010001100110101001000101010011001101100 2.7702424e7
best: 0.9807103631979242
01101001100101100111100111110000000111000110100110011001010 2.7702424e7
00101001101011100111010001100110101001000111110011001101100 2.7702424e7
01101010101001100111011011111111100111000101010011011001110 2.7702424e7
00001000001001110111000011100110001011000111100001001100010 2.7702424e7
01101011101101100111100011101110000111000110010111001001010 2.7702424e7
00101001001001110011010001100110001011000110110111111101010 2.7702424e7
01111011100101100011100111110011001111000110010101101001110 2.7702424e7
01101011000001100111010001111110000011000100110011001101010 2.7702424e7
01111001100101100111110111110000000111000100000101011001010 2.7702424e7
00111010100001100011010001100111100011000111010011101101110 2.7702424e7
01101000110001000111110000101011001000000000100001001011100 2.7899368e7
01101011101100001101000100111111100111010100010000001001010 2.7899368e7
01011010110111100111011111011111100011010100010111001001110 2.7702424e7
00101000111011111000011110110010101001100110010010001001000 2.8228384e7
11011001000111000011011010111100111111110101010001001011011 2.7678008e7
01101000100101000011011000101111000001000101010001100101111 2.7678008e7
01001011100101100011010011100000101111000100110111011001010 2.7702424e7
00101001101001100111010011110110001001000111110011001101100 2.7702424e7
00101001001001110011001001100100011111000110100111111101110 2.7702424e7
01101010110111100111010011111111000111000100010111001001010 2.7702424e7
01101011100101100111000011000111100111000100100110011111011 2.7702424e7
00101011100101100111001011110101100111000110100010111001110 2.7702424e7
best: 0.9807103631979242
done evolving!
"all is well:)"
>>>>>>>>>>>>>>FINISH OPTIMIZATION>>>>>>>>>>>>>>>
805.56user 976.64system 40:34.67elapsed 73%CPU (0avgtext+0avgdata 129788maxresident)k
1030328inputs+4252192outputs (712major+67417413minor)pagefaults 0swaps
